市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2020,营业收入_2020,归母净利润_2021,利息支出_2021,资产总计_2021,EBI_A_2021,FirmSize_2020,MarketShare_2020_二级行业,HHI_2020_二级行业,AssetTurnover_2020,WorkingCapitalRatio_2020,FixedAssetsRatio_2020,FinancialLeverage_2020,CurrentRatio_2020,CapexRatio_2020,Revenue Growth Rate
H,0038.HK,第一拖拉机股份,工业,机械,工业--机械--机械Ⅲ--农用农业机械,中央国有企业,12342608883,7480729879,438209215.3,49965199.33,12339594557,0.039561625,23.23632325,0.009625201,0.190486512,0.6241319,0.04604456,0.219556403,0.596882484,1.082667087,0.006579455,30.3957
H,0042.HK,东北电气,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,公众企业,157896000,79797000,17629000,1681000,197239000,0.097901531,18.87744715,0.000201505,0.180614767,0.251217174,-0.921764959,0.284440391,2.173107615,0.367248365,6.96661E-05,-21.9605
H,0107.HK,四川成渝高速公路,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,40404381000,8198610000,1870856000,583565000,40647497000,0.060383078,24.42220406,0.010862559,0.135652855,0.209509096,0.009045356,0.018909732,0.590794845,1.040905277,0.002734406,5.0196
H,0168.HK,青岛啤酒股份,日常消费,食品饮料,日常消费--食品饮料--饮料--啤酒,地方国有企业,41514185835,27759710926,3155455810,29093000,46563004491,0.068392254,24.44930103,0.183706094,0.223554903,0.704323711,0.219639959,0.256356563,0.485283121,1.587892074,0.031198181,-0.8006
H,0177.HK,江苏宁沪高速公路,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,61095560365,8032466746,4178794497,788511048.1,67662020722,0.073413497,24.83570504,0.010642431,0.135652855,0.137635792,-0.10632362,0.283636888,0.459056117,0.537101648,0.06948944,-20.2984
H,0187.HK,京城机电股份,工业,机械,工业--机械--机械Ⅲ--工业机械,地方国有企业,1705430862,1088296502,-23282271.43,8926217.03,1568448758,-0.009153027,21.25708362,0.001400274,0.190486512,0.644673788,0.124293719,0.387029337,0.412696841,1.32749723,0.01455399,-8.9937
H,0300.HK,美的集团,可选消费,家电Ⅱ,可选消费--家电Ⅱ--家电Ⅲ--家用电器,民营企业,3.62833E+11,2.8571E+11,28586980000,1234706000,3.87939E+11,0.076872081,26.6172072,0.525020508,0.432049979,0.859551475,0.155808408,0.062617405,0.657650796,1.305377333,0.012833971,2.8992
H,0317.HK,中船防务,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,中央国有企业,38937517273,11608460727,79387401,132092572.7,44265408873,0.004777545,24.38522408,0.014936213,0.190486512,0.254455478,0.084849294,0.110461041,0.549248553,1.178598397,0.011699897,-46.8209
H,0323.HK,马鞍山钢铁股份,材料,钢铁Ⅱ,材料--钢铁Ⅱ--钢铁Ⅲ--钢铁Ⅳ,中央国有企业,80711141782,81614151183,5332253043,653603557,91207743018,0.065628821,25.11414247,0.394257765,0.407030453,0.977220796,-0.070131048,0.452646224,0.595951869,0.868964811,0.087073108,4.2821
H,0338.HK,上海石油化工股份,能源,石油石化,能源--石油石化--石油天然气--石油天然气炼制和销售,中央国有企业,44619130000,74623575000,2073431000,94186000,46920589000,0.046197566,24.52142853,0.01772415,0.448696169,1.65621842,0.046450861,0.300838362,0.342547132,1.136066408,0.041260016,-25.5771
H,0347.HK,鞍钢股份,材料,钢铁Ⅱ,材料--钢铁Ⅱ--钢铁Ⅲ--钢铁Ⅳ,中央国有企业,88046000000,1.00903E+11,6925000000,576000000,97526000000,0.076912823,25.20112524,0.48743742,0.407030453,1.147576967,-0.053222179,0.5927129,0.388297027,0.830842538,0.042909388,-4.4362
H,0357.HK,美兰空港,工业,交通运输,工业--交通运输--交通基础设施--机场服务,地方国有企业,11077487669,1369531792,765131573,27377384,11135347327,0.071170565,23.12818075,0.001814529,0.135652855,0.121554365,-0.563086704,0.708920944,0.656012479,0.097117389,0.120966532,-13.1212
H,0358.HK,江西铜业股份,材料,有色金属,材料--有色金属--其他金属与采矿--铜,地方国有企业,1.40882E+11,3.17756E+11,5772525000,2018808000,1.61035E+11,0.048382962,25.67118532,0.356549754,0.229164925,2.304290845,0.154970935,0.181430297,0.52542187,1.387973092,0.025885937,32.6276
H,0386.HK,中国石油化工股份,能源,石油石化,能源--石油石化--石油天然气--综合性石油天然气,中央国有企业,1.73381E+12,2.04946E+12,71975000000,15018000000,1.88926E+12,0.046046193,28.18133953,0.486774671,0.448696169,1.174851729,-0.038525094,0.411817938,0.490797408,0.872086788,0.075665372,-29.3214
H,0390.HK,中国中铁,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,1.19998E+12,9.74732E+11,27618000000,11180000000,1.36158E+12,0.028494837,27.81332351,0.296449738,0.222448336,0.864117219,0.030802257,0.061987855,0.739123333,1.052417588,0.035895688,14.5607
