市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2022,营业收入_2022,归母净利润_2023,利息支出_2023,资产总计_2023,EBI_A_2023,FirmSize_2022,MarketShare_2022_二级行业,HHI_2022_二级行业,AssetTurnover_2022,WorkingCapitalRatio_2022,FixedAssetsRatio_2022,FinancialLeverage_2022,CurrentRatio_2022,CapexRatio_2022,Revenue Growth Rate
CSI,601398.SH,工商银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,"39,609,657,000,000.00",,"363,993,000,000.00","750,026,000,000.00","44,697,079,000,000.00",0.024924,31.310094,,0.130858,,,0.007420,0.911289,,0.000584,
CSI,601288.SH,农业银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,"33,927,533,000,000.00",,"269,356,000,000.00","651,948,000,000.00","39,872,989,000,000.00",0.023106,31.155248,,0.130858,,,0.004497,0.921172,,0.000651,
CSI,601939.SH,建设银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,"34,601,917,000,000.00",,"332,653,000,000.00","630,133,000,000.00","38,324,826,000,000.00",0.025122,31.174930,,0.130858,,,0.004826,0.916803,,0.000686,
CSI,601988.SH,中国银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,"28,913,857,000,000.00",,"231,904,000,000.00","582,306,000,000.00","32,432,166,000,000.00",0.025105,30.995342,,0.130858,,,0.008521,0.911199,,0.000959,
CSI,601328.SH,交通银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,"12,992,419,000,000.00",,"92,728,000,000.00","295,738,000,000.00","14,060,472,000,000.00",0.027628,30.195387,,0.130858,,,0.014945,0.920281,,0.002436,
CSI,601658.SH,邮储银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,"14,067,282,000,000.00",,"86,270,000,000.00","216,524,000,000.00","15,726,631,000,000.00",0.019254,30.274873,,0.130858,,,0.003787,0.941295,,0.000882,
CSI,601998.SH,中信银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,"8,547,543,000,000.00",,"67,016,000,000.00","174,153,000,000.00","9,052,484,000,000.00",0.026641,29.776665,,0.130858,,,0.004028,0.919763,,0.000795,
CSI,600016.SH,民生银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,"7,255,673,000,000.00",,"35,823,000,000.00","164,695,000,000.00","7,674,965,000,000.00",0.026126,29.612805,,0.130858,,,0.008117,0.915540,,0.001476,
CSI,600036.SH,招商银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,"10,138,912,000,000.00",,"146,602,000,000.00","160,941,000,000.00","11,028,483,000,000.00",0.027886,29.947402,,0.130858,,,0.009855,0.905884,,0.003441,
CSI,601818.SH,光大银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,"6,300,510,000,000.00",,"40,792,000,000.00","143,329,000,000.00","6,772,796,000,000.00",0.027185,29.471652,,0.130858,,,0.004154,0.919052,,0.000741,
CSI,601318.SH,中国平安,金融,非银金融,金融--非银金融--保险--多元化保险,公众企业,"11,137,168,000,000.00",,"85,665,000,000.00","132,951,000,000.00","11,583,417,000,000.00",0.018873,30.041309,,0.507776,,,0.004818,0.894471,,0.000797,
CSI,601916.SH,浙商银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,"2,621,930,000,000.00",,"15,048,000,000.00","62,725,000,000.00","3,143,879,000,000.00",0.024738,28.594932,,0.130858,,,0.007015,0.936715,,0.002056,
CSI,601077.SH,渝农商行,金融,银行,金融--银行--商业银行--区域性银行,地方国有企业,"1,352,301,245,000.00",,"10,902,355,000.00","26,393,954,000.00","1,441,522,072,000.00",0.025873,27.932829,,0.130858,,,0.003504,0.914622,,0.000452,
CSI,601857.SH,中国石油,能源,石油石化,能源--石油石化--石油天然气--综合性石油天然气,中央国有企业,"2,673,485,000,000.00","3,239,167,000,000.00","161,146,000,000.00","24,063,000,000.00","2,752,448,000,000.00",0.067289,28.614404,0.453855,0.418201,1.251671,-0.003889,0.558265,0.424776,0.983347,0.091729,23.8996
CSI,601800.SH,中国交建,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"1,511,350,000,000.00","717,473,000,000.00","24,734,000,000.00","21,809,000,000.00","1,684,262,000,000.00",0.027634,28.044024,0.105018,0.173049,0.494436,-0.029834,0.039797,0.718016,0.931822,0.022517,5.0804
CSI,601668.SH,中国建筑,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"2,652,903,306,000.00","2,043,296,853,000.00","54,264,173,000.00","18,577,073,000.00","2,903,322,519,000.00",0.025089,28.606676,0.299083,0.173049,0.810647,0.167924,0.020296,0.743531,1.311680,0.009781,8.8065
CSI,600028.SH,中国石化,能源,石油石化,能源--石油石化--石油天然气--综合性石油天然气,中央国有企业,"1,948,640,000,000.00","3,257,356,000,000.00","58,310,000,000.00","18,069,000,000.00","2,024,696,000,000.00",0.037724,28.298153,0.456404,0.418201,1.697470,-0.074023,0.424268,0.519543,0.783865,0.088537,21.5658
CSI,600030.SH,中信证券,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,中央国有企业,"1,308,289,282,000.00",,"19,720,547,000.00","17,579,860,000.00","1,453,359,126,000.00",0.025665,27.899742,,0.507776,,,0.006331,0.802512,,0.000997,
CSI,601390.SH,中国中铁,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"1,613,019,000,000.00","1,154,349,000,000.00","33,483,000,000.00","15,511,000,000.00","1,829,290,000,000.00",0.026783,28.109129,0.168965,0.173049,0.776138,0.015749,0.073310,0.737815,1.029086,0.038164,7.5542
CSI,601688.SH,华泰证券,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,地方国有企业,"846,567,016,000.00",,"12,750,633,000.00","13,662,909,000.00","905,508,389,000.00",0.029170,27.464455,,0.507776,,,0.005761,0.801730,,0.001691,
CSI,601211.SH,国泰海通,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,地方国有企业,"860,688,547,000.00",,"9,374,143,000.00","12,832,969,000.00","925,402,484,000.00",0.023997,27.480999,,0.507776,,,0.003691,0.809657,,0.002073,
CSI,600900.SH,长江电力,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"327,268,285,047.33","50,988,511,796.57","27,238,970,860.70","12,556,406,948.81","571,942,544,909.29",0.069579,26.514046,0.046651,0.129341,0.155493,-0.113534,0.654516,0.401854,0.291705,0.014883,-6.4133
CSI,601995.SH,中金公司,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,中央国有企业,"648,764,039,436.00",,"6,156,130,774.00","10,740,147,165.00","624,306,586,684.00",0.027064,27.198335,,0.507776,,,0.002405,0.846670,,0.002445,
CSI,000776.SZ,广发证券,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,公众企业,"617,256,282,000.00",,"6,977,800,000.00","10,410,661,000.00","682,181,679,000.00",0.025489,27.148550,,0.507776,,,0.005195,0.797827,,0.001163,
CSI,601669.SH,中国电建,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"1,040,078,109,050.64","569,544,598,024.69","12,988,385,293.60","10,391,264,452.69","1,153,774,735,013.99",0.020264,27.670317,0.083366,0.173049,0.568392,-0.054595,0.145382,0.768917,0.879830,0.055525,1.0647
CSI,601881.SH,中国银河,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,中央国有企业,"625,215,724,000.00",,"7,878,769,000.00","10,285,645,000.00","663,205,297,000.00",0.027389,27.161363,,0.507776,,,0.001100,0.835876,,0.001851,
CSI,000166.SZ,申万宏源,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,中央国有企业,"613,117,025,000.00",,"4,606,340,000.00","9,695,409,000.00","635,437,418,000.00",0.022507,27.141822,,0.507776,,,0.002288,0.809694,,0.000761,
CSI,600999.SH,招商证券,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,中央国有企业,"611,661,882,000.00",,"8,763,960,000.00","9,523,425,000.00","695,852,992,000.00",0.026281,27.139445,,0.507776,,,0.002533,0.811593,,0.000916,
CSI,600011.SH,华能国际,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"512,221,773,000.00","246,724,789,000.00","8,357,460,000.00","8,938,084,000.00","550,316,013,000.00",0.031428,26.962024,0.225738,0.129341,0.487120,-0.165185,0.656213,0.735825,0.506159,0.079233,20.3069
CSI,601066.SH,中信建投,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,地方国有企业,"509,955,498,000.00",,"7,034,486,000.00","8,406,078,000.00","522,752,188,000.00",0.029537,26.957589,,0.507776,,,0.001314,0.817065,,0.001073,
CSI,002493.SZ,荣盛石化,材料,化工,材料--化工--基础化工--商品化工,民营企业,"362,587,416,687.68","272,084,002,632.38","1,158,146,248.89","8,202,127,726.14","374,918,440,311.68",0.024966,26.616531,0.376532,0.212868,0.777644,-0.094706,0.684790,0.732021,0.735974,0.081244,56.1527
CSI,601186.SH,中国铁建,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"1,523,951,052,000.00","1,096,312,867,000.00","26,096,971,000.00","7,459,090,000.00","1,663,019,578,000.00",0.020178,28.052327,0.160470,0.173049,0.762143,0.049486,0.048347,0.746701,1.080689,0.019856,7.4806
CSI,601985.SH,中国核电,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"464,619,975,273.09","70,413,401,876.66","10,623,826,706.60","7,301,743,750.68","539,267,250,476.02",0.033241,26.864486,0.064424,0.129341,0.161085,-0.017598,0.797490,0.681741,0.889415,0.108712,13.5065
CSI,601111.SH,中国国航,工业,交通运输,工业--交通运输--航空客运Ⅲ--航空客运Ⅳ,中央国有企业,"294,979,377,000.00","52,897,584,000.00","-1,038,411,000.00","6,943,087,000.00","335,278,694,000.00",0.017611,26.410171,0.045046,0.180808,0.178298,-0.238110,0.337563,0.927018,0.240533,0.003352,-29.0267
CSI,600795.SH,国电电力,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"412,851,885,447.67","190,317,277,831.67","5,608,589,563.00","6,710,634,947.41","457,899,346,871.80",0.026904,26.746355,0.174129,0.129341,0.469478,-0.148351,0.777889,0.732903,0.489031,0.091215,14.5655
CSI,600115.SH,中国东航,工业,交通运输,工业--交通运输--航空客运Ⅲ--航空客运Ⅳ,中央国有企业,"287,984,000,000.00","46,111,000,000.00","-8,168,000,000.00","6,081,000,000.00","284,733,000,000.00",-0.007330,26.386171,0.039267,0.180808,0.159893,-0.274435,0.309767,0.887692,0.257530,0.034790,-31.3078
CSI,600029.SH,南方航空,工业,交通运输,工业--交通运输--航空客运Ⅲ--航空客运Ⅳ,中央国有企业,"312,246,000,000.00","80,901,000,000.00","-4,140,000,000.00","5,928,000,000.00","309,596,000,000.00",0.005775,26.467057,0.068893,0.180808,0.254623,-0.345894,0.396537,0.822707,0.236494,0.037458,-15.0904
CSI,601868.SH,中国能建,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"664,351,125,000.00","366,393,301,000.00","7,986,116,000.00","5,899,961,000.00","783,156,193,000.00",0.017731,27.222077,0.053630,0.173049,0.614129,0.055987,0.089218,0.747895,1.108897,0.030079,13.6743
CSI,002736.SZ,国信证券,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,地方国有企业,"394,330,778,931.55",,"6,427,294,103.14","5,800,148,483.54","462,960,169,833.37",0.026411,26.700456,,0.507776,,,0.006717,0.728946,,0.001511,
CSI,003816.SZ,中国广核,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--独立电力生产商与能源贸易商,中央国有企业,"409,015,565,449.93","82,822,403,586.43","10,724,570,116.68","5,759,954,182.21","415,250,356,776.35",0.039698,26.737019,0.075777,0.129341,0.204750,-0.013759,0.736067,0.613878,0.926082,0.028947,2.6570
CSI,600346.SH,恒力石化,能源,石油石化,能源--石油石化--石油天然气--石油天然气炼制和销售,民营企业,"241,430,474,561.92","215,692,564,789.22","6,904,603,862.76","5,364,763,870.82","260,599,020,914.55",0.047081,26.209847,0.030222,0.418201,0.954969,-0.205066,0.604754,0.780805,0.606611,0.106510,10.8639
CSI,601628.SH,中国人寿,金融,非银金融,金融--非银金融--保险--人寿与健康保险,中央国有企业,"5,251,988,000,000.00",,"46,181,000,000.00","5,308,000,000.00","5,802,086,000,000.00",0.008874,29.289628,,0.507776,,,0.010388,0.915247,,0.000586,
CSI,000002.SZ,万科A,房地产,房地产Ⅱ,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,公众企业,"1,757,163,494,000.00","503,838,367,000.00","12,162,684,000.00","4,843,698,000.00","1,504,872,164,000.00",0.011301,28.194722,0.529694,0.393852,0.272650,0.192124,0.016265,0.769520,1.313224,0.007300,11.2723
CSI,601899.SH,紫金矿业,材料,有色金属,材料--有色金属--贵金属--黄金,地方国有企业,"306,044,139,470.00","270,328,998,459.00","21,119,419,571.00","4,663,911,436.00","343,005,706,012.00",0.075169,26.446995,0.157798,0.153058,1.050558,0.027691,0.309148,0.593342,1.119075,0.081016,20.0915
CSI,600930.SH,华电新能,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"271,927,281,958.00","24,426,761,287.00","9,619,770,057.00","4,525,620,297.00","336,672,867,584.00",0.042015,26.328801,0.022349,0.129341,,-0.124576,0.705813,0.711250,0.542037,0.214746,
CSI,600048.SH,保利发展,房地产,房地产Ⅱ,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,中央国有企业,"1,470,464,408,451.56","267,895,503,771.95","12,067,156,751.87","4,391,271,101.53","1,436,911,790,321.09",0.011454,28.016599,0.281643,0.393852,0.186661,0.311548,0.007289,0.780891,1.543905,0.000127,-0.5025
CSI,600958.SH,东方证券,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,地方国有企业,"368,066,959,000.00",,"2,753,755,000.00","4,299,827,000.00","383,690,462,000.00",0.018384,26.631531,,0.507776,,,0.005788,0.789717,,0.000843,
CSI,603993.SH,洛阳钼业,材料,有色金属,材料--有色金属--其他金属与采矿--金属非金属,民营企业,"165,019,219,538.77","172,990,857,221.36","8,249,711,872.51","4,138,052,209.88","172,974,530,702.61",0.071616,25.829328,0.100979,0.153058,1.143858,0.215858,0.252788,0.624059,1.711544,0.063737,-0.5014
CSI,600886.SH,国投电力,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"258,254,454,957.44","49,518,288,155.35","6,704,936,953.85","3,975,288,601.66","277,363,021,076.32",0.038506,26.277211,0.045306,0.129341,0.198222,-0.083020,0.800705,0.637472,0.521016,0.058878,15.6324
CSI,000100.SZ,TCL科技,信息技术,硬件设备,信息技术--硬件设备--电子设备、仪器和元件--电子元件,公众企业,"359,996,232,000.00","165,912,484,000.00","2,214,934,000.00","3,972,728,000.00","382,859,086,000.00",0.016162,26.609359,0.087756,0.117158,0.496202,0.022090,0.512593,0.632944,1.090841,0.113231,1.7807
CSI,600905.SH,三峡能源,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"262,127,164,193.79","23,641,734,318.52","7,181,086,737.34","3,954,822,772.55","311,707,560,904.40",0.035726,26.292096,0.021631,0.129341,0.098646,-0.016599,0.657012,0.664440,0.907727,0.105790,45.1851
CSI,000333.SZ,美的集团,可选消费,家电Ⅱ,可选消费--家电Ⅱ--家电Ⅲ--家用电器,民营企业,"422,550,912,000.00","345,708,706,000.00","33,721,536,000.00","3,937,526,000.00","486,036,015,000.00",0.077482,26.769576,0.389396,0.285332,0.853086,0.129588,0.069072,0.640468,1.265373,0.017399,1.1579
CSI,600027.SH,华电国际,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"226,802,413,000.00","105,960,339,000.00","4,601,094,000.00","3,642,399,000.00","226,476,498,000.00",0.036399,26.147345,0.096947,0.129341,0.471786,-0.149299,0.630566,0.678006,0.463299,0.045957,4.7361
CSI,601919.SH,中远海控,工业,交通运输,工业--交通运输--海上运输Ⅲ--海上运输Ⅳ,中央国有企业,"511,779,714,000.00","391,058,497,000.00","23,860,258,000.00","3,592,746,000.00","462,429,381,000.00",0.059367,26.961160,0.333016,0.180808,0.845123,0.198677,0.233535,0.504624,1.637630,0.020500,17.1908
CSI,600188.SH,兖矿能源,能源,煤炭Ⅱ,能源--煤炭Ⅱ--煤炭Ⅲ--煤炭与消费用燃料,地方国有企业,"308,603,503,000.00","154,601,505,000.00","17,778,972,000.00","3,563,014,000.00","414,317,629,000.00",0.051511,26.455323,0.166306,0.250024,0.506423,0.015110,0.306255,0.548879,1.055710,0.055648,42.3382
CSI,600941.SH,中国移动,通讯服务,电信服务,通讯服务--电信服务--多元电信服务--综合电信业务,中央国有企业,"1,935,538,000,000.00","812,058,000,000.00","131,766,000,000.00","3,552,000,000.00","1,992,657,000,000.00",0.067908,28.291406,0.492227,0.373379,0.430017,-0.039765,0.420615,0.327617,0.855690,0.097951,8.0714
CSI,000301.SZ,东方盛虹,材料,化工,材料--化工--基础化工--商品化工,民营企业,"166,511,713,405.78","63,119,970,873.91","717,031,594.87","3,493,931,626.87","190,214,802,161.82",0.022138,25.838331,0.087351,0.212868,0.422894,-0.125058,0.721124,0.785616,0.617277,0.188369,20.2725
CSI,601319.SH,中国人保,金融,非银金融,金融--非银金融--保险--财产与意外伤害保险,中央国有企业,"1,509,143,000,000.00",,"22,322,000,000.00","3,461,000,000.00","1,556,682,000,000.00",0.016563,28.042563,,0.507776,,,0.022615,0.800580,,0.004357,
CSI,300750.SZ,宁德时代,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,民营企业,"600,952,353,000.00","328,593,988,000.00","44,702,249,000.00","3,446,516,000.00","717,168,041,000.00",0.067137,27.121781,0.253926,0.108841,0.723282,0.153046,0.210937,0.705619,1.310972,0.080231,153.0191
CSI,601377.SH,兴业证券,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,地方国有企业,"245,859,297,720.46",,"1,964,371,034.08","3,417,217,077.97","273,611,445,298.37",0.019669,26.228025,,0.507776,,,0.003504,0.768821,,0.002351,
CSI,000338.SZ,潍柴动力,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,地方国有企业,"293,666,087,852.49","175,157,535,625.82","9,013,894,024.19","3,355,408,336.47","334,247,213,024.91",0.037006,26.405709,0.236485,0.187488,0.613823,0.165976,0.156214,0.645479,1.407052,0.022594,-20.4607
CSI,601600.SH,中国铝业,材料,有色金属,材料--有色金属--其他金属与采矿--铝,中央国有企业,"212,348,031,000.00","290,987,942,000.00","6,716,945,000.00","3,325,573,000.00","211,755,809,000.00",0.047425,26.081492,0.169857,0.153058,1.437954,-0.036877,0.514612,0.586735,0.874439,0.022375,-2.6423
CSI,601788.SH,光大证券,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,中央国有企业,"258,354,482,000.00",,"4,271,152,000.00","3,268,003,000.00","259,604,027,000.00",0.029041,26.277598,,0.507776,,,0.003186,0.749242,,0.001109,
CSI,002714.SZ,牧原股份,日常消费,食品饮料,日常消费--食品饮料--食品--食品加工与肉类,民营企业,"192,947,611,799.00","124,826,212,177.74","-4,263,280,820.31","3,239,357,630.51","195,404,553,902.24",-0.005240,25.985685,0.102330,0.105461,0.674347,-0.080793,0.589797,0.543553,0.800571,0.081571,58.4135
CSI,600918.SH,中泰证券,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,地方国有企业,"198,893,934,656.96",,"1,799,796,559.84","3,191,300,624.73","195,658,686,810.89",0.025509,26.016038,,0.507776,,,0.005420,0.800549,,0.008552,
CSI,000063.SZ,中兴通讯,信息技术,硬件设备,信息技术--硬件设备--通信设备Ⅲ--通信设备Ⅳ,公众企业,"180,953,574,000.00","122,954,418,000.00","9,325,753,000.00","3,141,567,000.00","200,958,318,000.00",0.062039,25.921506,0.065034,0.117158,0.703165,0.328539,0.076518,0.670948,1.758068,0.027366,7.3635
CSI,601898.SH,中煤能源,能源,煤炭Ⅱ,能源--煤炭Ⅱ--煤炭Ⅲ--煤炭与消费用燃料,中央国有企业,"339,616,318,000.00","213,336,214,000.00","20,183,598,000.00","3,064,810,000.00","349,155,327,000.00",0.066585,26.551082,0.229487,0.250024,0.645549,0.055689,0.372320,0.514808,1.180126,0.028727,-8.8004
CSI,601901.SH,方正证券,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,公众企业,"181,611,932,430.60",,"2,152,451,934.07","2,970,669,790.47","222,441,655,763.08",0.023031,25.925138,,0.507776,,,0.002940,0.758406,,0.001621,
CSI,601088.SH,中国神华,能源,煤炭Ⅱ,能源--煤炭Ⅱ--煤炭Ⅲ--煤炭与消费用燃料,中央国有企业,"625,178,000,000.00","344,533,000,000.00","64,625,000,000.00","2,858,000,000.00","633,412,000,000.00",0.106539,27.161302,0.370616,0.250024,0.557598,0.180182,0.471779,0.259856,2.144730,0.045881,2.6496
CSI,600025.SH,华能水电,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--新能源发电业者,中央国有企业,"162,879,365,505.42","20,797,007,709.52","7,638,074,711.00","2,730,456,864.91","195,239,265,297.35",0.053107,25.816276,0.019028,0.129341,0.128562,-0.108919,0.902161,0.571473,0.169814,0.048581,4.9134
CSI,600039.SH,四川路桥,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,地方国有企业,"208,298,737,975.97","134,635,037,751.26","9,003,845,893.62","2,709,537,928.39","240,914,762,578.04",0.048620,26.062239,0.019707,0.173049,0.779731,0.109348,0.029618,0.779158,1.209964,0.025586,31.8954
CSI,601618.SH,中国中冶,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"585,384,390,000.00","592,669,072,000.00","8,670,405,000.00","2,679,906,000.00","661,602,236,000.00",0.017156,27.095535,0.086751,0.173049,1.050036,0.089447,0.050375,0.723414,1.135705,0.007369,18.3985
CSI,601601.SH,中国太保,金融,非银金融,金融--非银金融--保险--多元化保险,公众企业,"2,176,299,000,000.00",,"27,257,000,000.00","2,628,000,000.00","2,343,962,000,000.00",0.012750,28.408647,,0.507776,,,0.009078,0.892419,,0.004180,
