市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024
CSI,000338.SZ,潍柴动力,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,地方国有企业,"343,879,412,547.54","215,690,504,589.82","10,930,504,451.02","3,628,593,475.52","367,475,596,673.66",0.039619,26.563557,0.255562,0.187309,0.636136,0.086979,0.156461,0.645345,1.193169,0.021402
CSI,000408.SZ,藏格矿业,材料,化工,材料--化工--农用化工--化肥与农用药剂,地方国有企业,"15,083,281,912.76","2,897,361,987.40","3,852,353,240.98","6,312,248.81","17,692,154,203.25",0.218100,23.436853,0.003488,0.213171,0.198620,0.083802,0.174457,0.081966,2.536757,0.009784
CSI,000425.SZ,徐工机械,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,地方国有企业,"160,969,811,609.42","91,244,589,883.51","6,572,221,644.27","716,429,463.03","172,078,712,755.41",0.042356,25.804483,0.108112,0.187309,0.565044,0.175762,0.164311,0.624391,1.354563,0.018254
CSI,000568.SZ,泸州老窖,日常消费,食品饮料,日常消费--食品饮料--饮料--白酒与葡萄酒,地方国有企业,"68,334,595,564.58","26,442,492,627.15","10,830,713,936.14","-511,995,793.73","64,794,994,851.27",0.159252,24.947682,0.020702,0.097008,0.401773,0.535297,0.145444,0.304774,3.562096,0.017390
CSI,000596.SZ,古井贡酒,日常消费,食品饮料,日常消费--食品饮料--饮料--白酒与葡萄酒,地方国有企业,"40,522,413,702.09","19,837,594,537.00","3,549,108,530.34","-524,281,825.11","38,197,033,001.78",0.079190,24.425121,0.015531,0.097008,0.522432,0.357908,0.220514,0.365936,2.013605,0.059903
CSI,000625.SZ,长安汽车,可选消费,汽车与零配件,可选消费--汽车与零配件--汽车--汽车制造,中央国有企业,"208,168,160,960.86","155,382,562,786.85","4,075,223,181.54","-2,402,254,178.20","202,961,073,175.76",0.008243,26.061612,0.066776,0.204324,0.780152,0.110542,0.112265,0.620112,1.202997,0.023385
CSI,000630.SZ,铜陵有色,材料,有色金属,材料--有色金属--其他金属与采矿--铜,地方国有企业,"80,944,491,696.95","144,288,984,039.68","2,415,007,111.01","245,854,206.40","100,206,269,994.18",0.026554,25.117029,0.080600,0.157470,1.812794,0.223788,0.367705,0.477954,1.762476,0.053808
CSI,000661.SZ,长春高新,医疗保健,医药生物,医疗保健--医药生物--生物科技Ⅲ--生物科技Ⅳ,地方国有企业,"31,051,118,000.00","13,465,627,000.00","154,971,452.80","-3,597,720.10","30,080,522,676.54",0.005032,24.158901,0.022221,0.230555,0.435818,0.413877,0.296122,0.159372,4.758913,0.070244
CSI,000708.SZ,中信特钢,材料,钢铁Ⅱ,材料--钢铁Ⅱ--钢铁Ⅲ--钢铁Ⅳ,中央国有企业,"111,043,379,345.44","108,584,472,829.11","5,928,668,055.97","709,860,550.13","110,322,568,610.71",0.060174,25.433187,0.218923,0.484294,0.954379,0.047169,0.470685,0.605304,1.124346,0.004975
CSI,000725.SZ,京东方A,信息技术,硬件设备,信息技术--硬件设备--电子设备、仪器和元件--电子元件,地方国有企业,"429,978,221,541.00","197,084,458,765.00","5,856,966,754.00","1,836,646,802.00","436,378,322,803.00",0.017631,26.787000,0.087283,0.114376,0.464184,0.065413,0.546687,0.524287,1.244021,0.079162
