市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024
H,0300.HK,美的集团,可选消费,家电Ⅱ,可选消费--家电Ⅱ--家电Ⅲ--家用电器,民营企业,"604,351,853,000.00","409,084,266,000.00","43,945,411,000.00","3,000,695,000.00","608,791,766,000.00",0.077114,27.127422,0.517986,0.413221,0.750346,0.061626,0.063183,0.623287,1.105861,0.012972
H,0470.HK,先导智能,工业,机械,工业--机械--机械Ⅲ--工业机械,民营企业,"36,094,127,000.00","11,773,350,000.00","1,563,778,000.00","119,746,000.00","38,981,051,000.00",0.043188,24.309396,0.012762,0.177102,0.330175,0.246775,0.078166,0.679189,1.411136,0.024173
H,0501.HK,豪威集团,信息技术,半导体,信息技术--半导体--半导体产品--集成电路,民营企业,"38,964,574,000.00","25,706,819,000.00","4,045,416,530.33","302,467,921.86","43,600,508,995.65",0.099721,24.385919,0.490522,0.276407,0.670254,0.364659,0.090530,0.378862,2.870703,0.032045
H,0638.HK,广和通,信息技术,硬件设备,信息技术--硬件设备--通信设备Ⅲ--通信设备Ⅳ,民营企业,"7,549,056,000.00","6,971,189,000.00","347,040,640.51","34,238,202.83","9,689,464,050.15",0.039350,22.744688,0.007550,0.348635,0.952066,0.369015,0.022761,0.521402,1.763904,0.016440
H,0666.HK,瑞浦兰钧,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,民营企业,"38,539,480,000.00","17,795,914,000.00","622,992,000.00","306,002,000.00","46,472,198,000.00",0.019990,24.374949,0.021645,0.233104,0.477357,0.004141,0.404346,0.732166,1.008332,0.103053
H,0699.HK,均胜电子,可选消费,汽车与零配件,可选消费--汽车与零配件--汽车零配件--汽车零配件与设备,民营企业,"64,165,868,000.00","55,863,577,000.00","1,335,820,000.00","1,144,521,000.00","69,154,537,000.00",0.035867,24.884737,0.030178,0.231543,0.922963,0.067773,0.239552,0.690715,1.168949,0.050067
H,0901.HK,华曦达,信息技术,硬件设备,信息技术--硬件设备--通信设备Ⅲ--通信设备Ⅳ,民营企业,"2,224,758,000.00","2,540,936,000.00","239,112,000.00","4,313,000.00","2,573,426,000.00",0.094592,21.522914,0.002752,0.348635,1.254932,0.425369,0.012321,0.533858,1.799973,0.007065
H,0954.HK,常茂生物,日常消费,食品饮料,日常消费--食品饮料--食品--食品加工与肉类,民营企业,"1,249,758,000.00","584,794,000.00","-66,763,000.00","17,225,000.00","1,179,725,000.00",-0.041991,20.946216,0.001979,0.270252,0.469289,-0.244654,0.667824,0.533238,0.494240,0.051182
H,1021.HK,华沿机器人,工业,机械,工业--机械--机械Ⅲ--工业机械,民营企业,"616,563,000.00","310,441,000.00","-29,917,000.00","378,000.00","668,326,000.00",-0.044198,20.239671,0.000337,0.177102,0.517066,0.597083,0.023245,0.195120,4.131712,0.016681
H,1057.HK,浙江世宝,可选消费,汽车与零配件,可选消费--汽车与零配件--汽车零配件--汽车零配件与设备,民营企业,"3,264,667,069.57","2,693,468,867.27","180,516,932.51","2,314,757.56","3,834,729,716.54",0.047678,21.906424,0.001455,0.231543,0.910672,0.305014,0.222199,0.402426,1.779713,0.031025
H,1066.HK,威高股份,医疗保健,医疗设备与服务,医疗保健--医疗设备与服务--医疗保健设备与用品--医疗保健用品,民营企业,"34,759,849,000.00","13,087,071,000.00","1,612,210,000.00","255,854,000.00","36,048,108,000.00",0.051821,24.271729,0.020929,0.874431,0.382495,0.384410,0.187701,0.270953,3.197521,0.018626
H,1081.HK,大金重工,工业,电气设备,工业--电气设备--电气设备Ⅲ--重型电气设备,民营企业,"11,561,950,000.00","3,779,651,000.00","1,103,297,000.00","32,200,000.00","14,490,551,000.00",0.078361,23.170985,0.004597,0.233104,0.346968,0.363541,0.260960,0.371040,2.190037,0.073075
H,1187.HK,可孚医疗,医疗保健,医疗设备与服务,医疗保健--医疗设备与服务--医疗保健设备与用品--医疗保健设备,民营企业,"6,422,667,000.00","2,982,931,000.00","371,608,000.00","16,066,000.00","6,628,916,000.00",0.058482,22.583099,0.004770,0.874431,0.470982,0.399175,0.243464,0.252281,2.882742,0.018761
H,1211.HK,比亚迪股份,可选消费,汽车与零配件,可选消费--汽车与零配件--汽车--汽车制造,民营企业,"783,355,855,000.00","777,102,455,000.00","32,619,022,000.00","2,551,657,000.00","883,729,883,000.00",0.039798,27.386853,0.419794,0.231543,1.062411,-0.160097,0.358516,0.746363,0.747144,0.124285
H,1236.HK,乐动机器人,信息技术,硬件设备,信息技术--硬件设备--电子设备、仪器和元件--电子制造服务,民营企业,"652,644,000.00","467,345,000.00","-62,501,000.00","344,000.00","674,998,000.00",-0.092085,20.296542,0.000506,0.348635,0.746088,0.370617,0.046056,0.375540,1.999628,0.017090
H,1274.HK,知行科技,信息技术,软件服务,信息技术--软件服务--信息技术服务--互联网服务与基础架构,民营企业,"1,560,922,000.00","1,247,721,000.00","-415,828,000.00","5,740,000.00","1,735,972,000.00",-0.236230,21.168543,0.014030,0.463939,0.771753,0.431236,0.197631,0.421480,2.413750,0.140120
H,1276.HK,恒瑞医药,医疗保健,医药生物,医疗保健--医药生物--制药--西药,民营企业,"50,135,644,000.00","27,984,605,000.00","7,711,055,000.00","14,349,000.00","69,867,316,000.00",0.110573,24.637998,0.051110,0.286802,0.595923,0.631912,0.141499,0.080689,9.719005,0.039277
H,1289.HK,盛力达科技,工业,机械,工业--机械--机械Ⅲ--工业机械,民营企业,"1,063,564,000.00","516,019,000.00","33,809,000.00",,"931,775,000.00",0.036285,20.784891,0.000559,0.177102,0.493164,0.504995,0.071988,0.329594,2.532176,0.000383
H,1304.HK,峰岹科技,信息技术,半导体,信息技术--半导体--半导体产品--集成电路,民营企业,"2,649,251,000.00","600,325,000.00","218,936,000.00","534,000.00","5,224,119,000.00",0.042011,21.697543,0.011455,0.276407,0.233456,0.587799,0.055727,0.036356,20.723219,0.057821
