证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
0038.HK,第一拖拉机股份,6.2390,6.2886,6.5496,4.0606,3.1570,2.3421,1.6468,-9.6834,0.3327,1.8165,1.6650
0042.HK,东北电气,-43.3480,-5.2485,-3.1244,-13.1221,9.8363,21.1575,-8.4698,3.7166,-112.1422,-20.8235,1.6063
0107.HK,四川成渝高速公路,3.8561,4.5880,5.1319,3.7529,7.0862,4.1513,5.4156,5.2160,5.8492,5.4588,5.8450
0168.HK,青岛啤酒股份,11.3550,10.5021,10.5586,9.4207,9.5199,6.9384,6.2422,5.7088,5.5697,6.3306,7.0165
0177.HK,江苏宁沪高速公路,7.4415,8.6141,8.5532,7.7421,9.6206,6.2762,11.5128,13.5410,13.0663,13.3916,11.2876
0187.HK,京城机电股份,-2.4297,1.7826,-1.5174,1.6632,-1.7922,8.1765,-7.9070,-5.4641,2.7910,-8.2356,-11.7370
0300.HK,美的集团,7.8419,8.7425,9.5186,8.9270,9.2097,9.8222,9.5474,9.5040,10.3548,12.2094,12.6251
0317.HK,中船防务,1.7079,0.2811,-0.4007,0.9063,-0.0174,7.7894,2.2293,-5.1549,0.8561,0.4751,1.6141
0323.HK,马鞍山钢铁股份,0.6188,-5.3027,-1.2693,-0.1424,8.8882,4.4073,3.6847,12.1620,9.6702,3.4426,-5.8206
0338.HK,上海石油化工股份,-4.5585,0.5631,-4.6941,-9.1236,5.0394,0.5615,5.1441,15.3734,20.8175,24.9276,14.9842
0347.HK,鞍钢股份,-3.6699,-6.8889,-4.0485,0.0555,10.1492,3.6803,3.3886,12.7078,7.4901,3.2355,-2.8540
0357.HK,美兰空港,-1.5323,-2.3997,-0.6600,-1.3694,6.6513,-11.5286,7.5583,10.5362,8.9708,7.8528,9.1099
0358.HK,江西铜业股份,5.3338,6.3979,6.5317,5.7654,6.2505,3.7725,3.3765,3.9917,3.4580,2.8863,1.2803
0386.HK,中国石油化工股份,2.7008,3.9847,4.7907,5.4667,6.5389,3.3555,5.9583,6.1926,5.7263,5.8572,4.2447
0390.HK,中国中铁,1.6576,2.1794,3.1595,3.2713,3.4909,3.5775,3.9075,3.3459,2.9292,3.0236,2.8734
0438.HK,彩虹新能源,-4.8768,-2.6239,-1.8633,2.8969,5.0649,5.8116,3.7511,3.6452,4.9327,4.2040,-8.0685
0470.HK,先导智能,4.6861,0.4852,5.6670,8.9987,9.3013,7.6005,9.5726,11.2651,13.5565,16.1708,13.8856
0501.HK,豪威集团,10.9220,8.5239,3.0978,5.2335,19.6868,14.9094,9.3706,4.7048,7.7634,10.9687,11.6297
0525.HK,广深铁路股份,5.0112,4.2001,4.2158,-6.7121,-3.1865,-1.7187,2.8827,3.0076,3.9727,4.6880,4.5169
0548.HK,深圳高速公路股份,3.5073,4.0624,5.9605,5.4532,6.8616,6.6854,6.9615,13.8828,7.3804,6.7823,7.2605
0552.HK,中国通信服务,2.6991,3.2633,3.6399,3.7342,3.7601,3.9016,3.9380,4.3108,4.6145,4.8437,4.9387
0553.HK,南京熊猫电子股份,1.1819,-2.4905,-3.2947,1.4433,1.4861,2.3796,2.2817,4.0405,3.2216,3.7987,4.0287
0564.HK,中创智领,10.5899,11.1977,9.6037,8.2041,8.0433,6.9702,5.8982,6.1324,2.4506,-0.4879,-0.6391
0568.HK,山东墨龙,3.8239,2.0464,-12.5866,-7.9220,-5.2456,2.7383,-1.0511,4.0066,2.5459,-9.5351,-4.3763
0576.HK,浙江沪杭甬,4.2524,4.9889,5.0519,5.1349,6.5979,5.8473,7.9950,7.7588,7.7983,7.4163,9.4973
0579.HK,京能清洁能源,4.8466,5.5156,5.8584,6.2182,5.7136,6.2379,6.6997,7.2553,7.0850,7.4921,7.8407
0588.HK,北京北辰实业股份,-3.4455,-3.8464,2.6922,-0.0327,2.3264,1.8311,5.0301,4.6042,4.3480,2.9203,3.4590
0598.HK,中国外运,6.7977,6.8937,7.4843,7.2264,7.1518,6.0209,5.9295,7.4507,7.9414,7.1308,8.0233
0600.HK,爱芯元智,-22.8827,-23.6879,-32.4149,-44.8151,,,,,,,
0638.HK,广和通,4.2056,5.2369,5.9596,6.7489,11.6996,12.3144,11.9866,12.7704,10.6005,18.9077,23.0707
0664.HK,铜师傅,9.3672,19.4512,12.0507,17.5947,,,,,,,
0666.HK,瑞浦兰钧,1.9816,-2.7138,-5.3921,-1.4768,-13.2116,-1.6762,-6.7734,,,,
0670.HK,中国东方航空股份,1.5205,0.4007,-0.9401,-11.0379,-4.1992,-4.0155,3.5761,3.1241,5.2858,6.1772,7.0238
0694.HK,北京首都机场股份,-0.8064,-1.1088,-4.3396,-11.0144,-7.4980,-7.4618,9.6705,12.1508,11.4077,8.2331,8.2644
0696.HK,中国民航信息网络,8.1867,7.7172,5.5696,2.3839,2.3532,0.6434,12.3238,12.4120,13.5918,17.3908,16.7920
0699.HK,均胜电子,4.8337,4.6651,4.7785,1.8159,-7.2297,0.8726,2.5998,7.8574,4.1099,5.3738,7.5812
0719.HK,山东新华制药股份,4.3247,6.4980,6.7854,6.5527,6.4549,6.8805,7.0127,6.7199,6.4983,4.8804,4.5629
0728.HK,中国电信,4.9398,4.9718,4.7923,4.5591,4.7605,4.2642,4.4832,4.6709,4.2800,4.2818,5.1881
0747.HK,沈阳公用发展股份,-36.1966,-17.5176,-20.9578,-9.2352,-3.1107,-4.0833,-8.6457,-11.7847,-2.2949,1.0900,0.4938
0753.HK,中国国航,0.9768,1.2565,1.4877,-13.3588,-5.6464,-4.6895,5.1708,5.3071,6.2291,6.0871,5.6820
0763.HK,中兴通讯,2.6824,4.0552,4.8494,4.7226,5.3119,4.4955,5.8753,-4.9543,4.8838,-0.2651,4.2963
0788.HK,中国铁塔,5.3106,5.0680,4.9452,4.5822,4.0379,3.6509,3.5000,2.8946,2.4795,1.7624,-1.5394
