证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
601398.SH,工商银行,,,,,,,,,,,
601939.SH,建设银行,,,,,,,,,,,
601288.SH,农业银行,,,,,,,,,,,
601988.SH,中国银行,,,,,,,,,,,
601658.SH,邮储银行,,,,,,,,,,,
601328.SH,交通银行,,,,,,,,,,,
600036.SH,招商银行,,,,,,,,,,,
601166.SH,兴业银行,,,,,,,,,,,
600000.SH,浦发银行,,,,,,,,,,,
601998.SH,中信银行,,,,,,,,,,,
600016.SH,民生银行,,,,,,,,,,,
601318.SH,中国平安,,,,,,,,,,,
601818.SH,光大银行,,,,,,,,,,,
000001.SZ,平安银行,,,,,,,,,,,
601628.SH,中国人寿,,,,,,,,,,,
600015.SH,华夏银行,,,,,,,,,,,
601169.SH,北京银行,,,,,,,,,,,
601229.SH,上海银行,,,,,,,,,,,
601857.SH,中国石油,8.4570,9.2073,9.3352,8.8912,7.0118,3.0484,5.0334,5.2973,2.7969,2.5413,3.3390
600919.SH,江苏银行,,,,,,,,,,,
600028.SH,中国石化,2.7008,3.9847,4.7907,5.4667,6.5389,3.3555,5.9583,6.1926,5.7263,5.8572,4.2447
601668.SH,中国建筑,2.6034,3.2662,3.3474,3.5244,4.4051,4.4617,4.5323,4.6288,4.4714,4.7489,5.4015
601601.SH,中国太保,,,,,,,,,,,
601319.SH,中国人保,,,,,,,,,,,
601916.SH,浙商银行,,,,,,,,,,,
601336.SH,新华保险,,,,,,,,,,,
601077.SH,渝农商行,,,,,,,,,,,
601390.SH,中国中铁,1.6576,2.1794,3.1595,3.2713,3.4909,3.5775,3.9075,3.3459,2.9292,3.0236,2.8734
601009.SH,南京银行,,,,,,,,,,,
002142.SZ,宁波银行,,,,,,,,,,,
601186.SH,中国铁建,1.8279,2.1749,2.6402,2.7513,2.8597,2.8767,3.0754,3.2926,3.0231,2.9034,3.0769
601800.SH,中国交建,1.3065,1.9717,2.2187,2.1932,2.4939,2.6902,3.1488,3.4701,3.6422,3.9235,3.7540
601825.SH,沪农商行,,,,,,,,,,,
600941.SH,中国移动,8.1910,8.5443,8.4900,8.1688,8.0558,7.9764,8.5498,9.3259,8.7058,8.7282,9.4212
000002.SZ,万科A,-5.2187,-1.7772,3.0542,4.2373,4.0495,6.2520,6.8642,6.7857,6.6363,6.9741,7.3071
600926.SH,杭州银行,,,,,,,,,,,
600030.SH,中信证券,,,,,,,,,,,
600050.SH,中国联通,3.6787,3.7571,3.4736,3.2905,3.0314,2.7835,2.5380,2.1301,1.0019,0.7029,3.0898
600048.SH,保利发展,1.0818,1.4591,1.6940,2.6187,4.0120,4.5993,5.6267,4.9112,4.8458,5.7390,6.4085
600938.SH,中国海油,15.5225,18.2531,17.6337,22.7174,12.9543,5.0007,12.2000,11.8587,6.1495,-0.3287,2.9933
601838.SH,成都银行,,,,,,,,,,,
601211.SH,国泰海通,,,,,,,,,,,
601728.SH,中国电信,4.9398,4.9718,4.7923,4.5591,4.7605,4.2642,4.4832,4.6709,4.2800,4.2818,5.1881
601618.SH,中国中冶,0.6326,1.3516,2.3165,2.7708,2.5741,2.6346,2.5755,2.8088,2.8104,2.7759,2.8233
