证券代码,证券简称,"净资产收益率ROE(平均)
[报告期] 2025年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2024年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2023年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2022年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2021年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2020年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2019年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2018年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016年报
[单位] %↓","净资产收益率ROE(平均)
[报告期] 2015年报
[单位] %"
0438.HK,彩虹新能源,-48.3430,-22.9537,-12.4128,4.6455,8.8710,22.7127,66.2399,66.1320,103.8060,165.3339,-230.0635
1749.HK,杉杉品牌,2.8726,12.5171,13.1339,7.2921,6.0258,-29.2820,-5.8713,16.1282,32.8034,147.2460,
3319.HK,雅生活服务,1.1158,-29.4380,3.6465,15.5533,24.8945,25.9037,21.1960,23.2379,33.0815,87.5261,118.0942
2714.HK,牧原股份,20.6877,26.5183,-6.3342,21.0348,13.1803,74.6829,34.5474,4.1574,25.7150,50.5670,21.7852
2597.HK,讯众通信,6.9895,6.5733,10.3486,12.1620,14.7869,14.7423,16.3414,20.6428,27.8553,48.0999,47.1081
1772.HK,赣锋锂业,3.7127,-4.6579,10.9414,62.1928,32.0615,10.7583,4.4321,20.3755,59.8835,45.4666,13.0732
2676.HK,纳芯微,-3.3808,-6.6324,-4.8069,7.1113,51.6215,23.6152,-12.3805,6.8865,20.2089,43.9992,33.6457
2519.HK,傲基股份,5.1880,18.8815,26.4372,13.4014,-46.6134,,,,38.8920,41.8901,11.5392
9696.HK,天齐锂业,1.0662,-18.1851,14.0828,74.2320,37.3156,-30.1107,-69.9747,22.9109,31.4039,39.4599,8.2216
6936.HK,顺丰控股,11.6226,11.0079,9.1978,7.3626,6.8176,13.8488,14.6783,13.1598,17.9374,39.4012,3.5249
6885.HK,金马能源,-18.4733,-10.5154,0.6402,12.5219,15.8850,17.5669,23.9351,42.5377,42.3332,35.5598,4.1110
0470.HK,先导智能,12.6430,2.4405,15.4488,22.5126,21.0115,15.5064,19.8168,23.8545,28.8476,34.7610,28.6740
3750.HK,宁德时代,24.7249,23.4046,24.6845,24.6826,21.4245,10.9111,12.8327,11.7524,19.2981,34.0672,123.2197
1835.HK,瑞威资管,-10.9766,-4.9209,-18.8289,-9.9442,-10.2278,1.1040,2.3691,14.6907,34.0345,33.2972,
2583.HK,西普尼,12.0601,7.6524,9.3744,5.1011,13.0326,27.1606,,,22.4332,33.2140,47.2390
0638.HK,广和通,7.0365,19.8285,20.2669,16.6540,22.8347,19.7960,19.4183,21.2549,17.1633,31.6620,34.9667
1727.HK,河北建设,-9.8081,2.7827,2.8466,5.5905,-5.7954,12.6997,14.1381,24.5036,31.2382,31.2576,20.6676
3288.HK,海天味业,19.4904,21.3513,20.4872,24.8908,30.6914,34.9402,35.1523,34.0622,32.4475,30.3027,30.9086
1763.HK,中国同辐,6.4000,8.3856,8.1009,9.0601,8.3205,5.5834,9.1021,12.0969,19.4141,29.5303,
3636.HK,金浔资源,48.4226,43.8057,7.7749,28.1816,61.0431,32.9984,19.7558,40.2529,34.1078,28.3157,13.7038
0338.HK,上海石油化工股份,-6.6973,1.2479,-5.2750,-10.0803,6.9765,2.1844,7.3601,18.2201,23.2029,26.8130,18.0415
0300.HK,美的集团,19.9765,20.3036,22.0540,22.0714,23.5901,24.8420,26.2109,25.8030,25.6312,26.6193,28.6599
2651.HK,大众口腔,12.9315,33.9415,40.4645,38.3612,21.4512,,,,,25.1174,28.4078
1596.HK,翼辰实业,11.3093,-2.0972,2.0072,6.6947,11.0518,12.5319,10.3401,10.3196,10.6644,24.7031,31.2565
2333.HK,长城汽车,11.8232,17.2111,10.5033,12.9841,11.2602,9.5981,8.4113,10.2446,10.4269,24.6448,22.4548
0921.HK,海信家电,19.3568,23.0604,22.6096,13.1278,9.6671,17.0683,22.3185,19.9673,35.3146,24.4119,15.4707
1276.HK,恒瑞医药,14.4413,14.7386,10.9911,10.7279,13.8312,22.8959,23.9443,23.1685,23.1782,23.1992,24.3099
3268.HK,美格智能,8.7302,8.8959,5.6088,16.9468,18.5898,4.8530,4.5351,9.1258,15.6060,22.8105,19.4939
6127.HK,昭衍新药,3.6314,0.9057,4.8228,14.0243,13.3383,30.2113,24.7739,16.9646,19.1181,22.0988,26.8182
6865.HK,福莱特玻璃,4.4356,4.5844,15.2269,16.4285,22.2623,27.7296,17.5332,11.8781,13.8373,21.9167,20.5087
2359.HK,药明康德,27.7494,16.4434,21.0204,20.7183,14.3612,11.8871,10.5974,18.8139,20.6034,21.8193,11.6897
1576.HK,齐鲁高速,6.2134,8.0706,9.1076,17.3674,27.1316,18.5583,14.1043,13.5972,22.4336,21.3707,
1272.HK,大唐环境,7.2331,7.2317,7.1900,3.9097,-2.9565,4.2561,3.0976,11.0601,13.4775,20.9557,27.7057
6690.HK,海尔智家,16.9979,17.4432,16.8551,16.9839,17.8233,15.4782,18.7290,20.4085,23.1603,20.5332,19.3145
6196.HK,郑州银行,3.4610,3.5094,3.5846,4.4635,6.3097,7.6249,8.7324,8.8848,15.9994,20.4587,22.9885
3689.HK,康华医疗,6.7548,1.0711,8.3145,4.1879,6.8354,-1.8871,5.4299,12.7029,12.9381,20.3697,66.9879
3898.HK,时代电气,9.7520,9.4461,8.6999,7.6121,7.1456,10.8186,12.7431,13.9002,15.0367,19.8393,24.1861
2202.HK,万科企业,-55.4220,-21.8230,4.9294,9.4508,9.7832,20.1254,22.6117,23.4175,22.7952,19.6815,19.2403
0901.HK,华曦达,20.7541,14.1659,23.7586,51.3118,24.5186,31.5109,19.2634,11.4893,18.9176,19.6504,14.9674
1785.HK,成都高速,11.5476,11.6245,14.8522,13.1940,17.6177,10.4712,15.5892,18.6095,18.1482,19.6438,
