证券代码,证券简称,"净资产收益率ROE(平均)
[报告期] 2025年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2024年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2023年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2022年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2021年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2020年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2019年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2018年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2015年报
[单位] %"
000001.SZ,平安银行,8.1514,9.2038,10.2436,10.9660,9.5674,8.5445,10.1966,10.7415,10.9324,12.4283,14.9530
000002.SZ,万科A,-55.4220,-21.8230,4.9294,9.4508,9.7832,20.1254,22.6117,23.4175,22.7952,19.6815,19.2403
000063.SZ,中兴通讯,7.5796,11.9656,14.7269,14.6750,14.3765,11.8124,19.9050,-25.6072,15.7393,-8.4102,11.7637
000100.SZ,TCL科技,7.8827,2.9487,4.2759,0.5577,26.0751,13.6661,8.6386,11.5144,10.1478,6.8212,12.1072
000157.SZ,中联重科,8.3378,6.2059,6.3920,4.2085,12.1754,17.0601,11.3806,5.3656,3.6118,-2.4234,0.2206
000166.SZ,申万宏源,8.7875,5.0853,4.7199,2.9317,10.2330,9.0478,7.5167,6.6779,8.5574,10.5502,33.8746
000301.SZ,东方盛虹,0.3926,-6.6110,2.0155,1.7315,20.1222,2.0044,11.9679,10.2395,6.4823,4.4039,5.2588
000333.SZ,美的集团,19.9765,20.3036,22.0540,22.0714,23.5901,24.8420,26.2109,25.8030,25.6312,26.6193,28.6599
000338.SZ,潍柴动力,12.1527,13.7363,11.8200,6.8082,15.1577,19.0967,21.5406,23.2251,20.3301,7.6927,4.3322
000408.SZ,藏格矿业,25.5897,19.1658,27.1619,52.4145,16.4337,2.8930,4.0185,12.1713,19.4411,30.2215,-56.2211
000425.SZ,徐工机械,10.9748,10.3524,9.7377,9.6036,16.0106,11.1507,11.4355,7.5556,4.5895,1.0163,0.2486
000538.SZ,云南白药,13.0673,12.0680,10.4456,7.8226,7.3510,14.5178,14.4966,17.4860,18.6296,20.0275,22.5106
000568.SZ,泸州老窖,22.2926,30.3514,35.0437,33.3034,31.1280,28.2744,25.5254,21.6930,19.5248,18.0952,14.7377
000596.SZ,古井贡酒,14.2800,23.8933,22.9194,17.9310,17.2900,19.5348,25.3537,24.1124,19.0596,15.9103,15.8757
000617.SZ,中油资本,4.1689,4.6098,5.0341,5.2195,6.0899,9.0479,9.6592,9.7232,9.9652,16.6834,-13.5304
000625.SZ,长安汽车,5.2955,9.8651,16.8174,13.1518,6.5097,6.8233,-5.8638,1.4508,15.6566,26.3864,33.1633
000630.SZ,铜陵有色,6.8151,8.5490,9.4410,11.6014,15.2663,4.6484,4.5825,4.0261,3.2361,1.1817,-4.6426
000651.SZ,格力电器,20.4718,25.3212,27.1759,24.4564,21.0780,19.6811,24.5151,33.3959,37.5051,30.4205,27.3413
000661.SZ,长春高新,0.6886,11.4613,22.5926,25.3845,29.4649,32.0434,26.5335,20.7079,15.9014,17.0790,23.7469
000708.SZ,中信特钢,14.0293,12.8882,15.2797,20.5711,26.0083,22.4814,36.3352,12.1011,10.1889,8.1060,7.9346
000725.SZ,京东方A,4.3804,4.0579,1.9188,5.4094,20.9698,5.0779,2.1210,4.0255,9.2565,2.4107,2.1300
000768.SZ,中航西飞,5.3258,5.0454,4.8262,3.2837,4.2059,4.8807,3.4902,3.5137,3.0336,2.6987,2.9443
000776.SZ,广发证券,9.0227,6.8028,5.4543,6.9932,10.6004,10.6001,8.5547,5.0628,10.5217,10.2917,22.5408
000786.SZ,北新建材,11.0011,14.8739,15.9022,15.7211,19.7136,18.6805,3.1249,18.4729,20.5692,12.8853,11.9509
000792.SZ,盐湖股份,20.7902,13.6187,27.7208,90.1669,66.5713,-15.4504,,-18.6540,-18.5843,1.4389,2.7538
000807.SZ,云铝股份,20.0643,16.3245,16.4549,22.5376,22.1290,7.9432,5.1629,-16.1698,6.8774,1.4881,0.6499
000858.SZ,五粮液,7.0724,24.2374,24.8051,25.0507,25.3034,24.9440,25.2612,22.9140,19.2683,15.0091,14.9255
000876.SZ,新希望,-7.4569,1.8781,0.9226,-4.6529,-26.1385,15.0033,21.1685,8.0394,11.0284,12.4130,11.9956
000895.SZ,双汇发展,24.0324,23.7793,23.6687,25.1710,20.8965,31.0827,36.9129,35.6237,29.9745,28.4242,26.3538
000938.SZ,紫光股份,12.0057,6.6518,6.3934,6.9834,7.1941,6.5414,6.7348,6.5900,6.4366,6.2226,7.3083
000963.SZ,华东医药,14.2646,15.9251,14.3284,14.2173,14.7544,20.9427,25.2637,24.7058,22.7097,28.2273,41.8823
000975.SZ,山金国际,21.3887,17.7654,12.6544,10.5320,12.5104,13.1214,9.9397,10.6490,8.2447,5.8144,6.5678
000977.SZ,浪潮信息,11.5566,12.0797,10.1262,12.8312,13.5278,12.0228,9.8164,8.1040,7.6195,8.4722,17.3860
000983.SZ,山西焦煤,3.3287,8.4156,19.1651,38.5676,20.1847,9.9890,8.4986,9.5590,9.1370,2.6729,0.8843
000999.SZ,华润三九,16.2615,17.3289,15.8599,15.1666,14.1117,12.1524,18.0620,13.8591,14.1077,14.8003,17.4331
001391.SZ,国货航,10.0481,8.8254,6.0203,16.9311,,,,,,,
001965.SZ,招商公路,6.3367,7.8106,10.7759,8.1785,8.7794,4.2580,9.1178,8.8139,8.3609,9.7432,13.9625
001979.SZ,招商蛇口,0.9813,3.5007,5.7077,4.0536,9.8764,12.4892,18.7792,21.1261,19.5841,18.5941,15.2910
002001.SZ,新和成,21.7741,21.6833,11.1793,15.9572,21.0236,19.6978,13.1358,20.4392,15.4809,15.9174,5.7179
002027.SZ,分众传媒,18.8406,29.6963,27.8682,15.7944,34.2586,26.0028,13.4046,47.3919,65.3983,70.7122,133.0606
002028.SZ,思源电气,22.6037,18.0029,15.9463,13.9146,16.0850,16.1427,11.6013,6.5954,5.8213,8.6560,10.2044
002049.SZ,紫光国微,10.9992,9.8078,23.6988,31.0610,32.0145,17.6260,10.1662,9.5479,8.3705,11.0780,12.2181
002050.SZ,三花智控,15.9183,16.6657,18.9455,21.3630,15.8759,15.1077,15.8736,15.6741,18.7294,17.1927,14.7940
002074.SZ,国轩高科,8.6532,4.7300,3.8647,1.4735,0.6865,1.5111,0.5881,6.9268,13.7761,29.6598,33.3010
002142.SZ,宁波银行,12.2100,12.4910,13.8468,14.5561,14.5918,13.7576,15.1381,16.2158,17.3863,16.3948,16.5485
002179.SZ,中航光电,9.0316,15.2143,17.6227,16.8109,16.1453,16.0768,15.0748,17.4422,18.3479,19.5552,18.1630
002230.SZ,科大讯飞,4.5884,3.2170,3.9322,3.3828,10.5707,11.3244,8.4499,6.9102,5.8823,7.2687,8.5278
002236.SZ,大华股份,10.4572,8.2144,24.3143,9.4000,15.5721,22.0396,22.5615,21.9138,25.4362,24.7829,23.4679
002241.SZ,歌尔股份,11.3246,8.3287,3.6087,6.1570,18.1976,15.9283,8.1802,5.7664,16.6219,16.3108,14.1085
002252.SZ,上海莱士,4.8989,7.1257,6.0886,6.8715,5.0740,7.2331,5.4382,-13.0115,6.9161,14.4243,14.9720
002304.SZ,洋河股份,4.4845,12.8921,20.1500,20.8486,18.5442,19.9544,21.0477,25.6974,23.8525,23.7893,25.1522
002311.SZ,海大集团,17.7776,20.6831,14.6310,18.2998,11.2264,21.8640,19.5702,20.2140,19.9142,16.0713,16.7149
002352.SZ,顺丰控股,11.6226,11.0079,9.1978,7.3626,6.8176,13.8488,14.6783,13.1598,17.9374,39.4012,3.5249
002371.SZ,北方华创,16.0506,20.2754,17.6776,12.8411,9.1003,8.4979,6.5726,6.8177,3.8652,3.6710,2.0889
002384.SZ,东山精密,6.8809,5.8732,11.3814,15.3018,13.4741,14.0928,8.2370,10.0206,10.0173,5.3227,1.5154
002415.SZ,海康威视,17.3097,15.2555,19.4933,19.4726,28.6561,27.1241,30.0981,33.4162,34.4425,34.0921,34.4266
002422.SZ,科伦药业,7.2882,13.9301,13.8671,11.5421,8.0608,6.2156,7.2277,9.8748,6.4716,5.2223,5.9201
002459.SZ,晶澳科技,-18.3440,-14.7779,22.4721,25.1371,13.0889,13.3058,27.0380,0.3891,1.7763,1.6411,-23.5505
002460.SZ,赣锋锂业,3.7127,-4.6579,10.9414,62.1928,32.0615,10.7583,4.4321,20.3755,59.8835,45.4666,13.0732
002463.SZ,沪电股份,28.3622,23.9277,16.7579,17.5673,15.7355,23.5231,26.3793,15.2169,5.9393,3.9590,0.1717
002466.SZ,天齐锂业,1.0662,-18.1851,14.0828,74.2320,37.3156,-30.1107,-69.9747,22.9109,31.4039,39.4599,8.2216
002475.SZ,立讯精密,21.5235,21.2766,21.5491,22.7284,22.3079,29.8582,26.3382,19.1490,13.9772,13.7850,21.3153
002493.SZ,荣盛石化,1.9401,1.6429,2.5288,6.9515,29.8899,24.5580,10.1498,9.1363,14.8626,16.3606,4.0537
002594.SZ,比亚迪,15.1180,24.8437,24.0481,16.1305,4.0083,7.4523,2.8840,5.0456,7.6538,12.0937,9.7934
002600.SZ,领益智造,10.4399,9.2346,11.4357,9.5327,7.8109,17.2858,17.5760,-142.4508,23.8342,5.8808,2.3269
002601.SZ,龙佰集团,5.4247,9.5352,14.9025,17.1996,28.4481,16.3896,19.8189,17.5398,19.8395,6.0405,4.9407
002625.SZ,光启技术,7.4020,7.3442,6.8394,4.5962,3.3858,2.0945,1.5028,0.9330,1.9895,11.6537,8.0437
002648.SZ,卫星化学,16.6375,21.7820,20.5639,15.1287,36.4107,14.5234,14.7290,12.3465,17.8249,9.5781,-13.0584
002709.SZ,天赐材料,8.7993,3.6581,14.5991,58.0071,41.8942,17.2613,0.5818,17.0285,14.6325,28.2021,9.8082
002714.SZ,牧原股份,20.6877,26.5183,-6.3342,21.0348,13.1803,74.6829,34.5474,4.1574,25.7150,50.5670,21.7852
002736.SZ,国信证券,8.8552,7.1715,5.9144,5.9746,11.3766,9.6498,9.0366,6.5491,9.1066,9.2733,33.7525
002916.SZ,深南电路,20.6239,13.5073,10.9944,15.7922,18.5567,22.9887,28.2642,20.2389,18.8822,18.6905,12.1820
002920.SZ,德赛西威,19.5806,22.7884,21.4392,20.0390,16.6937,11.7018,7.1360,10.8185,24.6484,54.8583,49.0825
002938.SZ,鹏鼎控股,11.2846,11.7238,11.4155,19.3683,14.6229,13.7311,15.5082,18.3703,16.2587,9.7942,16.2070
003816.SZ,中国广核,8.0496,9.2952,9.7379,9.5844,9.9219,10.3334,11.7647,12.7090,15.5269,12.8777,12.2758
300014.SZ,亿纬锂能,10.3486,11.2720,12.4341,14.5156,17.9869,15.0670,27.3864,17.1798,16.0504,13.7865,11.2790
300015.SZ,爱尔眼科,15.1810,17.9733,18.9087,18.0423,21.9560,20.9608,22.4455,18.4975,18.5693,21.5382,19.3689
300033.SZ,同花顺,36.7012,23.8441,19.2590,24.6494,32.6676,37.4197,24.4934,19.4786,23.7051,47.6966,57.6875
300059.SZ,东方财富,14.0028,12.5878,11.9501,15.5844,22.1588,17.5766,9.9236,6.3128,4.6315,6.7996,36.7912
