winsor,benchmark,model,method,n_train,cv_rmse_raw_y,cv_mae_raw_y,cv_r2_raw_y,cv_rmse_winsor_y,cv_mae_winsor_y,cv_r2_winsor_y
5-95,H_nonSOE,Ridge,baseline,1139,0.31942718791947095,0.12226611100463626,0.08969204973247757,0.12376141644558153,0.09242549645817524,0.2543306258418757
5-95,H_nonSOE,Ridge,psm,198,0.057711313241202815,0.04343012135619671,-0.43239000667162175,0.04658806764341548,0.039664285787818054,-0.8610978476250828
5-95,H_nonSOE,Ridge,cem,761,0.31392289303216436,0.08858434663191699,0.06571031115358539,0.08287619196723246,0.06280649151671873,0.272152501116242
5-95,H_nonSOE,Ridge,entropy,1139,0.31942718791947095,0.12226611100463626,0.08969204973247757,0.12376141644558153,0.09242549645817524,0.2543306258418757
5-95,H_nonSOE,Ridge,overlap,1139,0.31942718791947095,0.12226611100463626,0.08969204973247757,0.12376141644558153,0.09242549645817524,0.2543306258418757
5-95,CSI_nonSOE,Ridge,baseline,685,0.08064704250736929,0.052064692861212014,0.13427208555301784,0.058805654612992884,0.04497848660783759,0.20366737305770155
5-95,CSI_nonSOE,Ridge,psm,440,0.11080237480208158,0.05848019754959022,-0.43661608045090206,0.062354569108748904,0.045179092684498115,-1.184095656697226
5-95,CSI_nonSOE,Ridge,cem,622,0.08210819285802204,0.051847953168103145,0.12021636218946086,0.060026756739510065,0.04485655905105451,0.18956296110714477
5-95,CSI_nonSOE,Ridge,entropy,685,0.08064704250736929,0.052064692861212014,0.13427208555301784,0.058805654612992884,0.04497848660783759,0.20366737305770155
5-95,CSI_nonSOE,Ridge,overlap,685,0.08064704250736929,0.052064692861212014,0.13427208555301784,0.058805654612992884,0.04497848660783759,0.20366737305770155
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,baseline,1824,0.26190258306220887,0.09886787590468948,0.087538534337952,0.10023211814270357,0.07453504857643042,0.23435960387174126
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,psm,494,0.11145392347184252,0.08141149249826096,-0.6607449574145823,0.08133153342310905,0.07107567443867699,-1.9873985157165728
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,cem,1383,0.24154365004459907,0.07454550116474497,0.07158867094048338,0.07475066237137265,0.05630634845487905,0.22892419974694178
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,entropy,1824,0.26190258306220887,0.09886787590468948,0.087538534337952,0.10023211814270357,0.07453504857643042,0.23435960387174126
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,overlap,1824,0.26190258306220887,0.09886787590468948,0.087538534337952,0.10023211814270357,0.07453504857643042,0.23435960387174126
2-97,H_nonSOE,Ridge,baseline,1139,0.31724676324095713,0.1234719533414337,0.10207724190702028,0.1446858876919775,0.10207755249367251,0.2480464688184194
2-97,H_nonSOE,Ridge,psm,198,0.056775607334445075,0.03837747900759943,-0.3863182667829017,0.04775478145236475,0.03609488807047822,-0.5423595759716844
2-97,H_nonSOE,Ridge,cem,761,0.31181348305985207,0.08833219204384041,0.07822407564185496,0.09390762882877812,0.06871577939469453,0.30420595056709243
2-97,H_nonSOE,Ridge,entropy,1139,0.31724676324095713,0.1234719533414337,0.10207724190702028,0.1446858876919775,0.10207755249367251,0.2480464688184194
2-97,H_nonSOE,Ridge,overlap,1139,0.31724676324095713,0.1234719533414337,0.10207724190702028,0.1446858876919775,0.10207755249367251,0.2480464688184194
2-97,CSI_nonSOE,Ridge,baseline,685,0.08117449408011629,0.05292781508793941,0.12291090550696149,0.06537018425028888,0.04856177483153855,0.17157997105314016
2-97,CSI_nonSOE,Ridge,psm,440,0.14599177874113511,0.09330685705215035,-1.4940168654264605,0.11816485202395838,0.08367661884553004,-4.27953427347975
2-97,CSI_nonSOE,Ridge,cem,622,0.08265267802531766,0.0525009735439046,0.10850943208438701,0.06624777795509848,0.04801424655040428,0.15893243200536744
2-97,CSI_nonSOE,Ridge,entropy,685,0.08117449408011629,0.05292781508793941,0.12291090550696149,0.06537018425028888,0.04856177483153855,0.17157997105314016
2-97,CSI_nonSOE,Ridge,overlap,685,0.08117449408011629,0.05292781508793941,0.12291090550696149,0.06537018425028888,0.04856177483153855,0.17157997105314016
2-97,Pooled_H_plus_CSI_nonSOE,Ridge,baseline,1824,0.25745235987414083,0.09798307782606776,0.11828399686834468,0.1179156263294409,0.08179901235367329,0.2731902441040266
2-97,Pooled_H_plus_CSI_nonSOE,Ridge,psm,494,0.11189212796599067,0.08092427395879888,-0.673829764555433,0.0845210213018197,0.07257671504702316,-1.6966023275581978
2-97,Pooled_H_plus_CSI_nonSOE,Ridge,cem,1383,0.24020908824162648,0.07477411947426839,0.08181952911371404,0.0840444939043541,0.061265473550903796,0.24747527695087213
2-97,Pooled_H_plus_CSI_nonSOE,Ridge,entropy,1824,0.25745235987414083,0.09798307782606776,0.11828399686834468,0.1179156263294409,0.08179901235367329,0.2731902441040266
2-97,Pooled_H_plus_CSI_nonSOE,Ridge,overlap,1824,0.25745235987414083,0.09798307782606776,0.11828399686834468,0.1179156263294409,0.08179901235367329,0.2731902441040266
1-99,H_nonSOE,Ridge,baseline,1139,0.3165069332265911,0.12592244459608462,0.10626033019754,0.16985123443141514,0.11156499074730497,0.21736823945993144
1-99,H_nonSOE,Ridge,psm,198,0.056569267282163896,0.03796520064627388,-0.3762599620035303,0.04730685131668617,0.03608980852516277,-0.3600824804259921
1-99,H_nonSOE,Ridge,cem,761,0.3122410082692047,0.09090614368980379,0.07569466220558285,0.10865821697862185,0.07558254770636096,0.26372004523920567
1-99,H_nonSOE,Ridge,entropy,1139,0.3165069332265911,0.12592244459608462,0.10626033019754,0.16985123443141514,0.11156499074730497,0.21736823945993144
1-99,H_nonSOE,Ridge,overlap,1139,0.3165069332265911,0.12592244459608462,0.10626033019754,0.16985123443141514,0.11156499074730497,0.21736823945993144
1-99,CSI_nonSOE,Ridge,baseline,685,0.08177555049099683,0.0534574103931872,0.10987400811766401,0.07276519208567934,0.05151782745528217,0.13898159081267558
1-99,CSI_nonSOE,Ridge,psm,440,0.15355662792731067,0.0985807103275395,-1.7591780034221731,0.1535489757180069,0.09856498700935767,-1.7607048177440463
1-99,CSI_nonSOE,Ridge,cem,622,0.08332487099547525,0.05304370847334472,0.0939499406036467,0.07393586391119984,0.051006221871333905,0.12143721690302212
1-99,CSI_nonSOE,Ridge,entropy,685,0.08177555049099683,0.0534574103931872,0.10987400811766401,0.07276519208567934,0.05151782745528217,0.13898159081267558
1-99,CSI_nonSOE,Ridge,overlap,685,0.08177555049099683,0.0534574103931872,0.10987400811766401,0.07276519208567934,0.05151782745528217,0.13898159081267558
1-99,Pooled_H_plus_CSI_nonSOE,Ridge,baseline,1824,0.25615024755729926,0.09973025327794488,0.127180321784779,0.13825686641320162,0.08947028692775626,0.25457100110618924
1-99,Pooled_H_plus_CSI_nonSOE,Ridge,psm,494,0.12609881063776285,0.09133571582555383,-1.1258577481316205,0.12454423212699921,0.09053625650166718,-1.17133556980639
1-99,Pooled_H_plus_CSI_nonSOE,Ridge,cem,1383,0.23821185144691956,0.07439762687086693,0.09702461648118221,0.09560884595062075,0.06524789299188827,0.2676208725054542
1-99,Pooled_H_plus_CSI_nonSOE,Ridge,entropy,1824,0.25615024755729926,0.09973025327794488,0.127180321784779,0.13825686641320162,0.08947028692775626,0.25457100110618924
1-99,Pooled_H_plus_CSI_nonSOE,Ridge,overlap,1824,0.25615024755729926,0.09973025327794488,0.127180321784779,0.13825686641320162,0.08947028692775626,0.25457100110618924
