sample,winsor,benchmark,n_train_valid_target,n_soe_predicted,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,target_lower,target_upper
baseline,5-95,H_nonSOE,1139,822,0.05731290800121654,0.06479232833721338,0.007479420335996829,0.009086404670135939,0.5961070559610706,0.041112244017653565,0.06370161950073183,0.022589375483078267,5769799810728.458,7889337797881.348,-0.3823643139999999,0.2004442600999999
common_support,5-95,H_nonSOE,1139,360,0.05859774750833333,0.06293175724289021,0.004334009734556874,0.011759287681018232,0.5805555555555556,0.043887264146490086,0.06632424143956782,0.022436977293077733,825592354412.9775,1314811417383.3125,-0.3823643139999999,0.2004442600999999
psm,5-95,H_nonSOE,198,822,0.05731290800121654,0.06899368287564375,0.011680774874427199,0.01075649760621179,0.6155717761557178,0.041112244017653565,0.052323220836973806,0.011210976819320241,2863518381845.0737,5448424052775.344,0.03163761,0.129927726
cem,5-95,H_nonSOE,761,822,0.05731290800121654,0.05882101297651612,0.00150810497529957,0.002710758538601467,0.5206812652068127,0.041112244017653565,0.05987161578103826,0.018759371763384693,4791536611131.322,7144170145037.191,-0.219799695,0.169022
entropy,5-95,H_nonSOE,1139,822,0.05731290800121654,0.06479232833721338,0.007479420335996829,0.009086404670135939,0.5961070559610706,0.041112244017653565,0.06370161950073183,0.022589375483078267,5769799810728.458,7889337797881.348,-0.3823643139999999,0.2004442600999999
overlap,5-95,H_nonSOE,1139,822,0.05731290800121654,0.06479232833721338,0.007479420335996829,0.009086404670135939,0.5961070559610706,0.041112244017653565,0.06370161950073183,0.022589375483078267,5769799810728.458,7889337797881.348,-0.3823643139999999,0.2004442600999999
baseline,5-95,CSI_nonSOE,685,822,0.05731290800121654,0.05324985560954318,-0.004063052391673363,-0.006910763544506426,0.42700729927007297,0.041112244017653565,0.035702159738938824,-0.005410084278714741,-1381848881600.8481,2938669524833.1826,-0.041619393446405355,0.22631141079999997
common_support,5-95,CSI_nonSOE,685,561,0.06776439378074865,0.06350763275641945,-0.004256761024329216,-0.001045160100224235,0.483065953654189,0.05743201452133258,0.04469855192133183,-0.012733462600000744,-854912191092.9144,692440362686.7548,-0.041619393446405355,0.22631141079999997
psm,5-95,CSI_nonSOE,440,822,0.05731290800121654,0.047806961036936615,-0.009505946964279924,-0.005940722606235932,0.44768856447688565,0.041112244017653565,0.03376333313841758,-0.007348910879235983,-1877065819364.4756,2346940375492.309,-0.025988632494964543,0.140584993
cem,5-95,CSI_nonSOE,622,822,0.05731290800121654,0.05062949830874367,-0.006683409692472877,-0.010498886737543622,0.39902676399026765,0.041112244017653565,0.030620978189208562,-0.010491265828445003,-2679689114761.4453,2486938429820.378,-0.04928276765,0.22814860214999988
entropy,5-95,CSI_nonSOE,685,822,0.05731290800121654,0.05324985560954318,-0.004063052391673363,-0.006910763544506426,0.42700729927007297,0.041112244017653565,0.035702159738938824,-0.005410084278714741,-1381848881600.8481,2938669524833.1826,-0.041619393446405355,0.22631141079999997
overlap,5-95,CSI_nonSOE,685,822,0.05731290800121654,0.05324985560954318,-0.004063052391673363,-0.006910763544506426,0.42700729927007297,0.041112244017653565,0.035702159738938824,-0.005410084278714741,-1381848881600.8481,2938669524833.1826,-0.041619393446405355,0.22631141079999997
baseline,5-95,Pooled_H_plus_CSI_nonSOE,1824,822,0.05731290800121654,0.08057055246222546,0.0232576444610089,0.02445015477144767,0.7019464720194647,0.041112244017653565,0.08007165707209257,0.03895941305443901,9951050405797.32,11099244258538.98,-0.2691511,0.21588719999999995
common_support,5-95,Pooled_H_plus_CSI_nonSOE,1824,591,0.06615085887986463,0.08280488963710697,0.016654030757242335,0.02073026489479013,0.6514382402707276,0.05401993010012091,0.07721361327426066,0.023193683174139744,1553107970463.2407,2375821868785.674,-0.2691511,0.21588719999999995
psm,5-95,Pooled_H_plus_CSI_nonSOE,494,822,0.05731290800121654,0.050209030532681394,-0.0071038774685351505,-0.0018193431478082753,0.4805352798053528,0.041112244017653565,0.03812062755241832,-0.0029916164652352487,-764121528185.5288,4436644172289.802,-0.029168025474944813,0.14799338322359387
cem,5-95,Pooled_H_plus_CSI_nonSOE,1383,822,0.05731290800121654,0.06822134185369905,0.010908433852482496,0.011975340262604918,0.6058394160583942,0.041112244017653565,0.0642816704743454,0.02316942645669183,5917956983124.635,7613611877560.273,-0.16447882379999998,0.20019526009999977
entropy,5-95,Pooled_H_plus_CSI_nonSOE,1824,822,0.05731290800121654,0.08057055246222546,0.0232576444610089,0.02445015477144767,0.7019464720194647,0.041112244017653565,0.08007165707209257,0.03895941305443901,9951050405797.32,11099244258538.98,-0.2691511,0.21588719999999995
overlap,5-95,Pooled_H_plus_CSI_nonSOE,1824,822,0.05731290800121654,0.08057055246222546,0.0232576444610089,0.02445015477144767,0.7019464720194647,0.041112244017653565,0.08007165707209257,0.03895941305443901,9951050405797.32,11099244258538.98,-0.2691511,0.21588719999999995
