winsor,benchmark,model,method,n_train,cv_rmse_raw_y,cv_mae_raw_y,cv_r2_raw_y,cv_rmse_winsor_y,cv_mae_winsor_y,cv_r2_winsor_y
5-95,H_nonSOE,Ridge,baseline,1010,0.5347299125259016,0.2272702572483081,0.06142570883577991,0.2224286976643249,0.16430445388197149,0.13033129400180643
5-95,H_nonSOE,Ridge,psm,316,0.06141798614286082,0.03871544762030925,0.10362706649578757,0.040140939757383316,0.033652527782296805,-0.05183523371024257
5-95,H_nonSOE,Ridge,cem,737,0.4229625585531614,0.17734194699433325,0.04443057669788242,0.1786575324434797,0.1329798297623115,0.1406653130546438
5-95,H_nonSOE,Ridge,entropy,1010,0.5347299125259016,0.2272702572483081,0.06142570883577991,0.2224286976643249,0.16430445388197149,0.13033129400180643
5-95,H_nonSOE,Ridge,overlap,1010,0.5347299125259016,0.2272702572483081,0.06142570883577991,0.2224286976643249,0.16430445388197149,0.13033129400180643
5-95,CSI_nonSOE,Ridge,baseline,684,0.1822302922974912,0.1125525865484836,0.031524547937368363,0.12189883935980404,0.09402373640228477,0.040268642897566154
5-95,CSI_nonSOE,Ridge,psm,447,0.24691031836429436,0.19155456301797383,-1.5835544463158757,0.21932506748769803,0.1793545988121573,-2.4969956779373943
5-95,CSI_nonSOE,Ridge,cem,623,0.18458173184257107,0.11162007801571046,0.05380943996736942,0.12218853963477908,0.09317451910720324,0.09814444042637993
5-95,CSI_nonSOE,Ridge,entropy,684,0.1822302922974912,0.1125525865484836,0.031524547937368363,0.12189883935980404,0.09402373640228477,0.040268642897566154
5-95,CSI_nonSOE,Ridge,overlap,684,0.1822302922974912,0.1125525865484836,0.031524547937368363,0.12189883935980404,0.09402373640228477,0.040268642897566154
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,baseline,1694,0.43221030428882395,0.18097510602994463,0.06103443896745431,0.1792410022419305,0.13296409584694577,0.14665099751059163
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,psm,502,0.1556496141042128,0.12061764012565106,-0.593879141542504,0.12066855097650808,0.10647281893097936,-1.3026441736713559
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,cem,1360,0.3350423325767988,0.14695827158838565,0.06774544043954633,0.15319540462234538,0.11394160614720915,0.167873462041632
