benchmark,二级行业,n_firms,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,total_assets
CSI_nonSOE,交通运输,102,0.04863539215686275,0.024896014816239955,-0.02373937734062279,-0.059352886476385855,0.2549019607843137,0.034920208875054766,0.016534122727599174,-0.018386086147455592,-329759495875.90094,1246288772564.2017,17935274164998.71
CSI_nonSOE,企业服务,7,0.12236985714285716,0.10382830478407265,-0.018541552358784488,0.005851038458214192,0.5714285714285714,0.12868714474950585,0.10358170679036227,-0.02510543795914358,-6100416688.497271,2444218805.117447,242991844971.0
CSI_nonSOE,传媒,7,0.13030928571428574,0.1521135459434226,0.02180426022913685,0.048409847694326005,0.7142857142857143,0.12182789519393164,0.1456584080675168,0.023830512873585147,4495119859.882394,6553855994.842541,188628750196.35
CSI_nonSOE,公用事业Ⅱ,80,0.08596345,0.13376180395119577,0.04779835395119576,0.033412184379078724,0.8375,0.08540665012143009,0.13055415606841794,0.045147505946987854,1140959796285.4727,1277007413741.9211,25271823378797.18
CSI_nonSOE,化工,34,0.2094820294117647,0.17465262019393238,-0.03482940921783231,-0.007755223080242839,0.47058823529411764,0.21514244067805008,0.14609049840271338,-0.0690519422753367,-153241477791.66,34355941275.610344,2219220383123.0
CSI_nonSOE,医药生物,42,0.1536919761904762,0.16788328836408833,0.014191312173612136,0.02991858254684393,0.6190476190476191,0.11177574524477794,0.1638844386527878,0.052108693408009846,108738999199.10579,126347677711.58446,2086772706958.5498
CSI_nonSOE,半导体,20,0.10317515000000002,0.0726306634150071,-0.030544486584992904,-0.021791389602782214,0.35,0.11203195282089985,0.06944354232774232,-0.042588410493157536,-32480402804.57722,7579855968.366816,762658254404.5801
CSI_nonSOE,可选消费零售,7,0.18920771428571426,0.20564784804564978,0.01644013375993553,0.044304633232931157,0.5714285714285714,0.1682711443822554,0.1995038230329296,0.031232678650674195,13815033281.44832,25084543119.2267,442326239000.0
CSI_nonSOE,国防军工,35,0.08751085714285714,0.10374148913121073,0.016230631988353596,0.028013450113753155,0.8,0.08101860386819683,0.08583245532084702,0.004813851452650189,9585052813.030552,51894214746.26443,1991140131204.84
CSI_nonSOE,建材Ⅱ,21,0.14630223809523807,0.14147009761161364,-0.004832140483624479,0.012729742423538942,0.5238095238095238,0.13044447698609657,0.1340699610934677,0.003625484107371124,7741837805.624506,70355481416.46648,2135394219460.03
CSI_nonSOE,建筑,63,0.09930753968253968,0.07303569693142745,-0.026271842751112228,-0.020026085387115908,0.1746031746031746,0.09424874101614908,0.07709451933065528,-0.017154221685493798,-1229098163766.7546,239699770448.36075,71649893903733.45
CSI_nonSOE,房地产Ⅱ,21,0.04301423809523811,0.06946118204197241,0.02644694394673433,0.015540599258269831,0.6190476190476191,0.08463875055769525,0.07243292451921986,-0.012205826038475392,-186047141372.30124,328995220893.87866,15242486726079.84
CSI_nonSOE,有色金属,63,0.1233990476190476,0.17250771698030087,0.04910866936125322,0.06935343679881437,0.7619047619047619,0.14236583722171545,0.15851322807432627,0.016147390852610827,112186100715.0353,401982194460.34216,6947630223299.91
CSI_nonSOE,机械,35,0.07923660000000002,0.11869080485193265,0.03945420485193265,0.03740140728708054,0.7428571428571429,0.08900451054661733,0.11403307871896597,0.025028568172348636,203756204102.7422,265040014922.11383,8140945286988.109
CSI_nonSOE,汽车与零配件,28,0.07509303571428572,0.09915702574344487,0.024063990029159155,0.015928688260574704,0.6071428571428571,0.06638623342920408,0.10670618716705071,0.04031995373784664,409577028239.0659,447206958531.79974,10158172077826.9
CSI_nonSOE,煤炭Ⅱ,35,0.17295094285714288,0.12034104327462936,-0.0526098995825135,-0.02882330167970787,0.2857142857142857,0.16379421635937402,0.12223228069895793,-0.04156193566041609,-450829079872.4392,77289583601.97661,10847162739386.379
CSI_nonSOE,电信服务,28,0.06294742857142857,0.07074232372452995,0.007794895153101381,0.003487447069038703,0.5714285714285714,0.08117159969985044,0.06389598392959936,-0.01727561577025108,-405304442374.2481,51472152005.95421,23461070665405.16
CSI_nonSOE,电气设备,28,0.10249885714285714,0.1368415137489837,0.03434265660612658,0.029381344808522267,0.8214285714285714,0.09882179100978092,0.12735440392765995,0.028532612917879036,71769118714.70245,75378172915.65979,2515336359879.2803
CSI_nonSOE,石油石化,28,0.09470435714285712,0.17194617183189626,0.07724181468903912,0.08809267014101112,0.7857142857142857,0.09136394196315852,0.19331501703880136,0.10195107507564284,3998970490993.0654,4372184122656.045,39224407276000.0
