benchmark,feature,train_min,train_p05,train_p95,train_max,soe_outside_minmax_count,soe_outside_p05_p95_count,soe_outside_p05_p95_share,missing_industries_in_benchmark,n_missing_industries,n_benchmark_industries,n_soe_industries
H_nonSOE_only,FirmSize_lag,17.21747431,19.549119028,25.3417981415,27.39106,80,413,0.5061274509803921,,,,
H_nonSOE_only,MarketShare_lag,0.0,0.0001895675,0.38846625349999997,1.0,0,74,0.09068627450980392,,,,
H_nonSOE_only,HHI_lag,0.126265665,0.177102,0.8825726254999998,1.0,224,428,0.5245098039215687,,,,
H_nonSOE_only,AssetTurnover_lag,2.1e-05,0.1470121845,1.996867,6.696784814,0,69,0.08455882352941177,,,,
H_nonSOE_only,WorkingCapitalRatio_lag,-8.677992,-0.16464718544999998,0.6984585484999999,0.903409746,0,78,0.09558823529411764,,,,
H_nonSOE_only,FixedAssetsRatio_lag,0.0,0.007973,0.5182584999999998,0.691954377,71,197,0.24142156862745098,,,,
H_nonSOE_only,FinancialLeverage_lag,0.0301,0.12406265000000001,0.882182763,9.652956,0,20,0.024509803921568627,,,,
H_nonSOE_only,CurrentRatio_lag,0.079743,0.66173795,8.013552346899997,24.579468,0,132,0.16176470588235295,,,,
H_nonSOE_only,CapexRatio_lag,4.90233e-05,0.0023719661999999997,0.18516315704999992,0.376937,0,17,0.020833333333333332,,,,
H_nonSOE_only,二级行业 coverage,,,,,133,133,0.16299019607843138,"国防军工, 建材Ⅱ, 电信服务, 石油石化, 钢铁Ⅱ",5.0,26.0,23.0
CSI_nonSOE_only,FirmSize_lag,19.96433776,21.411286762,25.999368387,27.39105958564576,80,295,0.36151960784313725,,,,
CSI_nonSOE_only,MarketShare_lag,0.000377743,0.0030914110999999997,0.30300347135000016,1.0,0,108,0.1323529411764706,,,,
CSI_nonSOE_only,HHI_lag,0.069189957,0.075162529,0.385233482,1.0,0,108,0.1323529411764706,,,,
CSI_nonSOE_only,AssetTurnover_lag,0.055460223,0.20473561660000006,1.6043605985999985,3.222673493,7,133,0.16299019607843138,,,,
CSI_nonSOE_only,WorkingCapitalRatio_lag,-0.556242419,-0.1485194334,0.6962786032,0.916263308,1,92,0.11274509803921569,,,,
CSI_nonSOE_only,FixedAssetsRatio_lag,0.00075613,0.0199931649,0.6261158802000001,0.8188579564824511,14,144,0.17647058823529413,,,,
CSI_nonSOE_only,FinancialLeverage_lag,0.030056153,0.09415112499999999,0.7474227386560709,0.89343,3,68,0.08333333333333333,,,,
CSI_nonSOE_only,CurrentRatio_lag,0.107794967,0.66169468185,9.02204126795,45.98912072,1,132,0.16176470588235295,,,,
CSI_nonSOE_only,CapexRatio_lag,7.77522e-05,0.011110354512719068,0.17930324999999997,0.375697775,0,126,0.15441176470588236,,,,
CSI_nonSOE_only,二级行业 coverage,,,,,203,203,0.24877450980392157,"企业服务, 可选消费零售, 建材Ⅱ, 建筑, 房地产Ⅱ, 煤炭Ⅱ, 电信服务, 钢铁Ⅱ",8.0,17.0,23.0
Pooled_H_plus_CSI_nonSOE,FirmSize_lag,17.21747431,19.925018635,25.828332,27.39106,80,322,0.3946078431372549,,,,
Pooled_H_plus_CSI_nonSOE,MarketShare_lag,0.0,0.00038558715,0.32244308156547946,1.0,0,86,0.1053921568627451,,,,
Pooled_H_plus_CSI_nonSOE,HHI_lag,0.069189957,0.106913309,0.8749531999999999,1.0,0,62,0.07598039215686274,,,,
Pooled_H_plus_CSI_nonSOE,AssetTurnover_lag,2.1e-05,0.16227844682529527,1.845491649999998,6.696784814,0,85,0.10416666666666667,,,,
Pooled_H_plus_CSI_nonSOE,WorkingCapitalRatio_lag,-8.677992,-0.159035,0.6975062245,0.916263308,0,83,0.1017156862745098,,,,
Pooled_H_plus_CSI_nonSOE,FixedAssetsRatio_lag,0.0,0.010067857999999999,0.559598485,0.8188579564824511,14,174,0.21323529411764705,,,,
Pooled_H_plus_CSI_nonSOE,FinancialLeverage_lag,0.030056153,0.10544125,0.8013876545,9.652956,0,24,0.029411764705882353,,,,
Pooled_H_plus_CSI_nonSOE,CurrentRatio_lag,0.079743,0.66108614575,8.7280515455,45.98912072,0,131,0.16053921568627452,,,,
Pooled_H_plus_CSI_nonSOE,CapexRatio_lag,4.90233e-05,0.0038028400500000016,0.1823722453499999,0.376937,0,25,0.030637254901960783,,,,
Pooled_H_plus_CSI_nonSOE,二级行业 coverage,,,,,70,70,0.0857843137254902,"建材Ⅱ, 电信服务, 钢铁Ⅱ",3.0,28.0,23.0
