市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024,BenchmarkMarket
CSI,000301.SZ,东方盛虹,材料,化工,材料--化工--基础化工--商品化工,民营企业,204312488701.89,129267787949.74,133746317.81,4555007972.6,205227818129.13,0.02284658255958177,26.042916466132656,0.22503971938499165,0.3404756158039197,0.6553046693765767,-0.2700409765507869,0.745550553026771,0.8165939629162601,0.4009415340679078,0.06216385581897378,CSI_nonSOE
CSI,000333.SZ,美的集团,可选消费,家电Ⅱ,可选消费--家电Ⅱ--家电Ⅲ--家用电器,民营企业,604351853000.0,409084266000.0,43945411000.0,3000695000.0,608791766000.0,0.0771135692396996,27.127422403351254,0.7841702727919546,0.6526875314442925,0.7503463272208748,0.06162631886560957,0.06318279460955008,0.6232866832957323,1.1058609531494086,0.01297197313300866,CSI_nonSOE
CSI,000876.SZ,新希望,日常消费,食品饮料,日常消费--食品饮料--食品--农产品,民营企业,117913645385.32,102890505597.97,-1784352202.18,1971954038.78,114232592818.92,0.0016422794228034714,25.49321837473353,0.20466693809442135,0.21624588016252744,0.8313569698016662,-0.2105736650043492,0.444163021005373,0.6900661086119738,0.47322636533825524,0.01852278272012371,CSI_nonSOE
CSI,000963.SZ,华东医药,医疗保健,医疗设备与服务,医疗保健--医疗设备与服务--医疗保健提供商与服务--保健护理产品经销商,民营企业,37879046367.15,41655068590.48,3414335326.41,18773120.98,39038036320.92,0.08794265211414437,24.357663929845753,0.3649905275461272,0.28019975017592524,1.1669981065564683,0.19159815476701123,0.13883771533305597,0.3779211154440443,1.5261295890658961,0.04561532102398605,CSI_nonSOE
CSI,002001.SZ,新和成,医疗保健,医药生物,医疗保健--医药生物--制药--西药,民营企业,42989132470.97,21358846553.03,6764199225.29,-14746421.76,45606449805.48,0.14799338322359387,24.48421318746429,0.10323614199456259,0.13623235092080122,0.5200255139308401,0.2329193681373228,0.523099541082751,0.3150466508526499,2.449227447086264,0.03721404046034946,CSI_nonSOE
CSI,002028.SZ,思源电气,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,民营企业,23415757000.0,15458069000.0,3150142665.04,-7608559.41,29839923865.41,0.10531307384710788,23.876675008762504,0.013741649317031748,0.14616578354193543,0.7349355582824046,0.3359834149286739,0.1166505955797201,0.45953735341548,1.7685481345238088,0.0393657569985886,CSI_nonSOE
CSI,002050.SZ,三花智控,工业,机械,工业--机械--机械Ⅲ--工业机械,民营企业,36354749000.0,27947165000.0,4062892000.0,135704000.0,49406131000.0,0.08498127489481012,24.316590678884864,0.24169433831779052,0.5244055085518771,0.8190205355284802,0.23842439401795898,0.3137365079868933,0.4630785650589968,1.635785646678164,0.09050118871677536,CSI_nonSOE
CSI,002074.SZ,国轩高科,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,民营企业,107839685095.13,35116250530.83,2383271938.21,1442765291.76,127214519738.62,0.030075475958492224,25.40391156399422,0.03121704270589657,0.14616578354193543,0.3486654726436589,-0.06313967473860409,0.4155914913389702,0.7227712669445646,0.8774743645972856,0.08409147133052527,CSI_nonSOE
CSI,002230.SZ,科大讯飞,信息技术,软件服务,信息技术--软件服务--软件--应用软件,民营企业,41478899803.2,23199141890.81,839390861.36,172981046.56,44857109349.34,0.022568817353695477,24.448450696407285,0.2705786096334248,0.23288063539086398,0.5850242145250109,0.20981979175394075,0.14634385786557677,0.5488098083817501,1.5666428136216977,0.07763017029037939,CSI_nonSOE
CSI,002236.SZ,大华股份,信息技术,硬件设备,信息技术--硬件设备--电子设备、仪器和元件--电子设备和仪器,民营企业,52735912081.82,31959615055.7,3857923611.86,-356374741.08,52558604784.24,0.06662180027712532,24.68856250409421,0.06479548496182044,0.12235054081259594,0.60519350270338,0.4239109990197117,0.11810752046435534,0.2950874012962163,2.5012919072264506,0.017208533948782335,CSI_nonSOE
CSI,002241.SZ,歌尔股份,可选消费,家电Ⅱ,可选消费--家电Ⅱ--家电Ⅲ--消费电子产品,民营企业,82706773086.83,100675116172.32,3940313461.54,611002980.02,90530293646.97,0.050273960883284174,25.138567335100472,0.192983304110283,0.6526875314442925,1.2869844068364917,0.05419834970461191,0.2805189082838783,0.5883278304986642,1.0997080570526987,0.04394335095064583,CSI_nonSOE
CSI,002311.SZ,海大集团,日常消费,食品饮料,日常消费--食品饮料--食品--农产品,民营企业,48140586659.7,114452385662.5,4280330734.08,254979226.98,47590711885.11,0.09529821642527246,24.59739145576011,0.227665509028346,0.21624588016252744,2.4643273734628033,0.10291376553326098,0.3604794542536667,0.4786845069559775,1.267298945894756,0.06515806128627571,CSI_nonSOE
CSI,002352.SZ,顺丰控股,工业,交通运输,工业--交通运输--航空运输--航空货运与物流,民营企业,213824213000.0,284420059000.0,11117216000.0,1752364000.0,216469037000.0,0.05945229016748479,26.08842007982657,0.7622022392942179,0.6177817572282329,1.30673257408704,0.07713550195552456,0.27674277000612646,0.5214048981440657,1.2284619551203098,0.04370304872816251,CSI_nonSOE
CSI,002384.SZ,东山精密,信息技术,硬件设备,信息技术--硬件设备--电子设备、仪器和元件--电子元件,民营企业,45573749000.0,36770374000.0,1386067000.0,424225000.0,60250538000.0,0.030046071953747533,24.542597707874936,0.07454890215057784,0.12235054081259594,0.8227644824710769,0.07810889115135118,0.3744754024954146,0.5855925085294168,1.1861962895117537,0.08320897629027622,CSI_nonSOE
CSI,002422.SZ,科伦药业,医疗保健,医药生物,医疗保健--医药生物--制药--西药,民营企业,37316259482.0,21536189806.0,1701935493.0,71499487.0,39834823325.0,0.044519714962235245,24.342694979660138,0.10409331530679801,0.13623235092080122,0.5838647413004775,0.2357713126698533,0.3317646590750009,0.2834710004656945,1.9628169368614388,0.044973950720048214,CSI_nonSOE
CSI,002459.SZ,晶澳科技,工业,电气设备,工业--电气设备--电气设备Ⅲ--光伏设备,民营企业,112958014000.0,70120697000.0,-4608260132.26,401282955.79,105009906906.66,-0.040062669327089774,25.45028202909203,0.062334695752738596,0.14616578354193543,0.6387747776583472,0.043936360283388126,0.3983297457761607,0.7474359278306717,1.0993076368606929,0.10471910386101511,CSI_nonSOE
